eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-11-19,11/19,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,05:00 PM,Home,vs,Warren G. Harding,Raiders,Warren G. Harding Raiders,Poland Seminary High School,Game,false,false,false,false,,,,2025-11-19_8th_boys-basketball,2025-11-19_8th_boys-basketball.jpg,b49cbcaa-ae1f-413c-9c6f-fdd3974ad47c
2025-11-25,11/25,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,05:30 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,Game,false,false,false,false,,,,2025-11-25_8th_boys-basketball,2025-11-25_8th_boys-basketball.jpg,7a982913-a38a-4345-8ef4-42cd08359c90
2025-12-03,12/03,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,Game,false,false,false,false,,,,2025-12-03_8th_boys-basketball,2025-12-03_8th_boys-basketball.jpg,af8f2b64-63dc-425d-ae94-79156ffc68bf
2025-12-08,12/08,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,Boardman Center Intermediate,,Boardman Center Intermediate,GLENWOOD MIDDLE SCHOOL,Game,false,false,false,false,,,,2025-12-08_8th_boys-basketball,2025-12-08_8th_boys-basketball.jpg,ba2e1c85-1ddb-43e4-9a75-766ac3d37d8c
2025-12-10,12/10,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,Game,false,false,false,false,,,,2025-12-10_8th_boys-basketball,2025-12-10_8th_boys-basketball.jpg,d29e5929-b532-4a3a-bed4-7ae7e07f34a1
2025-12-15,12/15,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2025-12-15_8th_boys-basketball,2025-12-15_8th_boys-basketball.jpg,b3b3d823-eafd-4fb9-a841-ca43f3f2538f
2025-12-17,12/17,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,Niles Middle School,,Niles Middle School,Niles Middle School,Game,false,false,false,false,,,,2025-12-17_8th_boys-basketball,2025-12-17_8th_boys-basketball.jpg,ecc1695c-6e46-48bd-b85d-3165a1c09578
2025-12-18,12/18,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:30 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,,,,2025-12-18_8th_boys-basketball,2025-12-18_8th_boys-basketball.jpg,2ed4eb3c-75dc-4821-9c6d-9feb575cf446
2026-01-05,01/05,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,false,,,,2026-01-05_8th_boys-basketball,2026-01-05_8th_boys-basketball.jpg,80c22e85-7a55-4075-b874-0c34bc150290
2026-01-07,01/07,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,,,,2026-01-07_8th_boys-basketball,2026-01-07_8th_boys-basketball.jpg,2e1bd595-c322-4e39-bc08-6f6171570bb5
2026-01-14,01/14,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,Hubbard MS,,Hubbard MS,Hubbard MS,Game,false,false,false,false,,,,2026-01-14_8th_boys-basketball,2026-01-14_8th_boys-basketball.jpg,3a059666-ea0f-482e-826f-67304968274a
2026-01-21,01/21,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,South Range Middle School,,South Range Middle School,South Range Middle School,Game,false,false,false,false,,,,2026-01-21_8th_boys-basketball,2026-01-21_8th_boys-basketball.jpg,6f055fd2-e64d-43bb-b655-13a516961462
2026-01-26,01/26,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,true,false,false,true,,,,2026-01-26_8th_boys-basketball,2026-01-26_8th_boys-basketball.jpg,9cfcf0ab-c7fc-48e7-8579-27c89d78c434
2026-01-28,01/28,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,Game,true,false,false,false,,,,2026-01-28_8th_boys-basketball,2026-01-28_8th_boys-basketball.jpg,86f3138a-df12-4262-b2a4-f597baa869ce
2026-02-02,02/02,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,,,,2026-02-02_8th_boys-basketball,2026-02-02_8th_boys-basketball.jpg,3172635c-16a6-4a00-b370-d41b83576ae3
2026-02-04,02/04,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,false,false,false,true,,,,2026-02-04_8th_boys-basketball,2026-02-04_8th_boys-basketball.jpg,dd443300-1dd1-408a-b808-a240bddf511a
2026-02-07,02/07,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,10:00 AM,Away,'@,NE8 Tournament,,NE8 Tournament,Girard Sr High School,Game,false,false,false,false,,,,2026-02-07_8th_boys-basketball,2026-02-07_8th_boys-basketball.jpg,30c7bc06-da6a-4ee4-8c15-ac7007e03f80
2026-02-09,02/09,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,04:45 PM,Home,vs,Practice: Basketball (Boys 8) Practice,,Practice: Basketball (Boys 8) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-02-09_8th_boys-basketball,2026-02-09_8th_boys-basketball.jpg,0123fb38-1320-4420-8297-c1d2d1616c7e
2026-02-09,02/09,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:15 PM,Away,'@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,Game,false,false,false,false,,,,2026-02-09_8th_boys-basketball-1,2026-02-09_8th_boys-basketball-1.jpg,48158920-61d7-4448-b12c-7bd553d5d3b6
2026-02-11,02/11,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,05:00 PM,Away,'@,NorthEast 8 Championship,,NorthEast 8 Championship,South Range Middle School,Game,false,false,false,false,,,,2026-02-11_8th_boys-basketball,2026-02-11_8th_boys-basketball.jpg,194b4e8e-7c6a-4978-b950-5c9673392d26
2026-12-07,12/07,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,Game,false,false,false,false,,,,2026-12-07_8th_boys-basketball,2026-12-07_8th_boys-basketball.jpg,c76f067d-88b2-4e24-8789-e28246ba87e0
2026-12-09,12/09,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,Game,false,false,false,false,,,,2026-12-09_8th_boys-basketball,2026-12-09_8th_boys-basketball.jpg,ecd34bda-c92f-423e-895c-987f492ef14e
2026-12-14,12/14,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,Niles Middle School,,Niles Middle School,Niles Middle School,Game,false,false,false,false,,,,2026-12-14_8th_boys-basketball,2026-12-14_8th_boys-basketball.jpg,dc1a54b1-074d-4190-bf82-a0dbf18e552a
2026-12-16,12/16,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,false,,,,2026-12-16_8th_boys-basketball,2026-12-16_8th_boys-basketball.jpg,046ac8e9-c0ab-42aa-a14d-72125faa9b47
2026-12-21,12/21,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2026-12-21_8th_boys-basketball,2026-12-21_8th_boys-basketball.jpg,3baaa11c-86b5-4120-af00-50e088080da9
2026-12-23,12/23,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,Boardman Center Intermediate,,Boardman Center Intermediate,Poland Seminary High School,Game,false,false,false,false,,,,2026-12-23_8th_boys-basketball,2026-12-23_8th_boys-basketball.jpg,a0eb9783-e8f9-4310-ac5c-613520992cbc
2027-01-06,01/06,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,8th,8th Grade,06:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,Game,false,false,false,false,,,,2027-01-06_8th_boys-basketball,2027-01-06_8th_boys-basketball.jpg,7422829d-d899-4f48-b12c-b9d980b51176
