eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-08-20,08/20,Football,football,freshman,Freshman,07:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,false,false,2025-08-20_freshman_football,2025-08-20_freshman_football.jpg,d10fa2b2-c065-4ec8-a367-6a6be0543003
2025-09-04,09/04,Football,football,freshman,Freshman,05:00 PM,Away,@,Beaver Local,Beavers,Beaver Local Beavers,Beaver Local High School,false,false,2025-09-04_freshman_football,2025-09-04_freshman_football.jpg,d5b58812-43a1-4bac-a4c1-3a1b52b92887
2025-09-11,09/11,Football,football,freshman,Freshman,06:30 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,false,false,2025-09-11_freshman_football,2025-09-11_freshman_football.jpg,c2bd8a02-2d17-4711-8ad6-f8450ce4cf48
2025-09-18,09/18,Football,football,freshman,Freshman,07:15 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2025-09-18_freshman_football,2025-09-18_freshman_football.jpg,a0594402-3b31-4fa9-a327-fc3f54bb51b1
2025-09-25,09/25,Football,football,freshman,Freshman,05:30 PM,Away,@,Conneaut,Spartans,Conneaut Spartans,Conneaut High School,false,false,2025-09-25_freshman_football,2025-09-25_freshman_football.jpg,dafbe69b-e606-4b44-9719-414d89237515
2025-10-08,10/08,Football,football,freshman,Freshman,05:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2025-10-08_freshman_football,2025-10-08_freshman_football.jpg,9ad0417a-4bce-4c85-9a31-9a6790a7bcee
2025-12-03,12/03,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2025-12-03_freshman_boys-basketball,2025-12-03_freshman_boys-basketball.jpg,0961a785-f72b-484b-bbaf-8a792e79359d
2025-12-08,12/08,Boys Basketball,boys-basketball,freshman,Freshman,05:30 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,false,false,2025-12-08_freshman_boys-basketball,2025-12-08_freshman_boys-basketball.jpg,0aea95ed-6eb4-4f24-aad7-299a82468efa
2025-12-11,12/11,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Home,vs,Mohawk High School,,Mohawk High School,Poland Seminary High School,false,false,2025-12-11_freshman_boys-basketball,2025-12-11_freshman_boys-basketball.jpg,c7ea9fdd-173c-4911-8b53-3d941f648570
2025-12-15,12/15,Boys Basketball,boys-basketball,freshman,Freshman,05:30 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2025-12-15_freshman_boys-basketball,2025-12-15_freshman_boys-basketball.jpg,8e03f45e-0b70-45b5-96f5-5b747a3aa805
