eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-08-20,08/20,Football,football,freshman,Freshman,07:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,false,false,2025-08-20_freshman_football,2025-08-20_freshman_football.jpg,d10fa2b2-c065-4ec8-a367-6a6be0543003
2025-09-04,09/04,Football,football,freshman,Freshman,05:00 PM,Away,@,Beaver Local,Beavers,Beaver Local Beavers,Beaver Local High School,false,false,2025-09-04_freshman_football,2025-09-04_freshman_football.jpg,d5b58812-43a1-4bac-a4c1-3a1b52b92887
2025-09-11,09/11,Football,football,freshman,Freshman,06:30 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,false,false,2025-09-11_freshman_football,2025-09-11_freshman_football.jpg,c2bd8a02-2d17-4711-8ad6-f8450ce4cf48
2025-09-18,09/18,Football,football,freshman,Freshman,07:15 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2025-09-18_freshman_football,2025-09-18_freshman_football.jpg,a0594402-3b31-4fa9-a327-fc3f54bb51b1
2025-09-25,09/25,Football,football,freshman,Freshman,05:30 PM,Away,@,Conneaut,Spartans,Conneaut Spartans,Conneaut High School,false,false,2025-09-25_freshman_football,2025-09-25_freshman_football.jpg,dafbe69b-e606-4b44-9719-414d89237515
2025-10-08,10/08,Football,football,freshman,Freshman,05:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2025-10-08_freshman_football,2025-10-08_freshman_football.jpg,9ad0417a-4bce-4c85-9a31-9a6790a7bcee
2026-09-03,09/03,Football,football,freshman,Freshman,07:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,false,false,2026-09-03_freshman_football,2026-09-03_freshman_football.jpg,7ad0a651-2c50-496f-a29e-ef86ae5e8e3d
2026-09-09,09/09,Football,football,freshman,Freshman,07:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,false,false,2026-09-09_freshman_football,2026-09-09_freshman_football.jpg,5a726b5e-4722-4157-bdbe-1bdf5794a19a
2026-09-16,09/16,Football,football,freshman,Freshman,07:30 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,false,false,2026-09-16_freshman_football,2026-09-16_freshman_football.jpg,a2fe1ede-3006-4742-8242-0851491683f2
2026-09-23,09/23,Football,football,freshman,Freshman,07:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2026-09-23_freshman_football,2026-09-23_freshman_football.jpg,f4a93307-56dd-4ef5-98a1-92229c15caf0
2026-09-30,09/30,Football,football,freshman,Freshman,07:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2026-09-30_freshman_football,2026-09-30_freshman_football.jpg,168616aa-d4e5-4d49-bda0-91260665bdc2
2026-10-08,10/08,Football,football,freshman,Freshman,06:00 PM,Home,vs,Beaver Local,Beavers,Beaver Local Beavers,Poland Seminary High School,false,false,2026-10-08_freshman_football,2026-10-08_freshman_football.jpg,66e37572-91f6-4d5c-9ed9-31a538cf706d
