eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-07-06,07/06,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Practice: Lacrosse (Girls V) Practice,,Practice: Lacrosse (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-06_girls-lacrosse,2025-07-06_girls-lacrosse.jpg,2bbf0825-7ddf-41c8-806f-9a7a2dd128a7
2025-07-13,07/13,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Practice: Lacrosse (Girls V) Practice,,Practice: Lacrosse (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-13_girls-lacrosse,2025-07-13_girls-lacrosse.jpg,dca476f4-12d5-4672-9312-fe4fdd75b85c
2025-07-20,07/20,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Practice: Lacrosse (Girls V) Practice,,Practice: Lacrosse (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-20_girls-lacrosse,2025-07-20_girls-lacrosse.jpg,54b19212-10ff-48dc-ac2e-a02b5b63eb28
2025-07-27,07/27,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Practice: Lacrosse (Girls V) Practice,,Practice: Lacrosse (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-27_girls-lacrosse,2025-07-27_girls-lacrosse.jpg,73e03fef-f6a5-4335-8d01-9f8aa9333613
2026-01-05,01/05,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,05:30 PM,Home,vs,Practice: Open Gym Girls Lacrosse,,Practice: Open Gym Girls Lacrosse,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-05_girls-lacrosse,2026-01-05_girls-lacrosse.jpg,a8bee73d-bba6-4a02-9da3-9f222a4469ef
2026-01-10,01/10,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,10:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-10_girls-lacrosse,2026-01-10_girls-lacrosse.jpg,ccaac666-92f1-4f52-b078-6e9f6258f28a
2026-01-17,01/17,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,10:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-17_girls-lacrosse,2026-01-17_girls-lacrosse.jpg,4c56696d-d76f-4ca4-b133-7ed4bb19e8fa
2026-01-19,01/19,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,TBA,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,true,false,,,,2026-01-19_girls-lacrosse,2026-01-19_girls-lacrosse.jpg,589d272d-39e4-42d2-b849-a160452e078e
2026-01-24,01/24,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,10:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-24_girls-lacrosse,2026-01-24_girls-lacrosse.jpg,095d28a1-dc51-4760-9d4f-ba1d8db32ea4
2026-01-26,01/26,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,05:45 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-26_girls-lacrosse,2026-01-26_girls-lacrosse.jpg,e8579a6a-f060-4d61-935d-eee0f2e586f6
2026-03-07,03/07,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,12:00 PM,Home,vs,Beaumont,Blue Streaks,Beaumont Blue Streaks,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-07_girls-lacrosse,2026-03-07_girls-lacrosse.jpg,b24f7d99-bae6-449c-abcb-1d1ed1910072
2026-03-17,03/17,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,05:30 PM,Home,vs,Practice: Lacrosse (Girls V) Practice,,Practice: Lacrosse (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-03-17_girls-lacrosse,2026-03-17_girls-lacrosse.jpg,094eb232-6204-43ea-b6a8-9d62a6547cfb
2026-03-19,03/19,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,05:30 PM,Home,vs,Media Day Pictures,,Media Day Pictures,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-19_girls-lacrosse,2026-03-19_girls-lacrosse.jpg,3fa97a8e-4f9f-4fcf-aa2c-a3517f5d3256
2026-03-25,03/25,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:30 PM,Away,@,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Cardinal Mooney High School,Game,false,false,false,false,,,,2026-03-25_girls-lacrosse,2026-03-25_girls-lacrosse.jpg,2d0dc83b-3839-493d-ae6f-974cfcb26967
2026-03-27,03/27,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-27_girls-lacrosse,2026-03-27_girls-lacrosse.jpg,9496f8cf-86ce-4aaa-9b47-d78ad4508466
2026-03-30,03/30,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2026-03-30_girls-lacrosse,2026-03-30_girls-lacrosse.jpg,3205e192-641f-40ea-92e5-785dcb40f452
2026-04-01,04/01,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Kent Roosevelt,Rough Riders,Kent Roosevelt Rough Riders,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-01_girls-lacrosse,2026-04-01_girls-lacrosse.jpg,bb2bcf63-e066-4237-999e-62e02e3d0dbf
2026-04-13,04/13,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,,,,2026-04-13_girls-lacrosse,2026-04-13_girls-lacrosse.jpg,31124616-e0b8-41ed-b55d-fe68687fed16
2026-04-15,04/15,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Laurel,Gators,Laurel Gators,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-15_girls-lacrosse,2026-04-15_girls-lacrosse.jpg,b6c8d8bf-857d-4fc0-b6d2-8c69a073452c
2026-04-18,04/18,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,11:00 AM,Away,@,Aurora,Green Men,Aurora Green Men,Aurora High School,Game,false,false,false,false,,,,2026-04-18_girls-lacrosse,2026-04-18_girls-lacrosse.jpg,c74cbd9f-6599-47e2-8fc0-52643a26c539
2026-04-20,04/20,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-20_girls-lacrosse,2026-04-20_girls-lacrosse.jpg,752451e6-7bbf-45a0-9a81-3220a71b0075
2026-04-23,04/23,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Away,@,Southeast,Pirates,Southeast Pirates,Southeast High School,Game,false,false,false,false,,,,2026-04-23_girls-lacrosse,2026-04-23_girls-lacrosse.jpg,621c1cc4-79ff-4bb3-8ad5-4883409d29dd
2026-04-27,04/27,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-27_girls-lacrosse,2026-04-27_girls-lacrosse.jpg,2be79dc7-c430-4864-ac0b-7179679c1cfc
2026-04-29,04/29,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Green,Bulldogs,Green Bulldogs,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-29_girls-lacrosse,2026-04-29_girls-lacrosse.jpg,df071a78-d48b-443a-bebe-88347ca4f7ad
2026-05-04,05/04,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:00 PM,Home,vs,Archbishop Hoban,Knights,Archbishop Hoban Knights,Poland Seminary High School,Game,false,false,false,false,,,,2026-05-04_girls-lacrosse,2026-05-04_girls-lacrosse.jpg,e5f8ee00-9a50-44db-a8b2-ffcda64541a7
2026-05-11,05/11,2026,Girls Lacrosse,girls-lacrosse,varsity,Varsity,06:30 PM,Home,vs,Girls Lacrosse Banquet,,Girls Lacrosse Banquet,Poland Seminary High School,Game,false,false,false,false,,,,2026-05-11_girls-lacrosse,2026-05-11_girls-lacrosse.jpg,5e6ca18f-10ed-4254-bdc1-ede18b034b28
