eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-08-13,08/13,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,,,,2025-08-13_girls-tennis,2025-08-13_girls-tennis.jpg,8f75359e-6c78-44a3-b46c-776f8d22bc17
2025-08-14,08/14,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Away,'@,Liberty,Leopards,Liberty Leopards,Liberty High School,Game,false,false,false,false,,,,2025-08-14_girls-tennis,2025-08-14_girls-tennis.jpg,a5f4485a-3991-46b0-ad7d-6e5f3aba719e
2025-08-15,08/15,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2025-08-15_girls-tennis,2025-08-15_girls-tennis.jpg,0dfa4deb-7c26-4551-bfbf-5919c637defd
2025-08-21,08/21,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,,,,2025-08-21_girls-tennis,2025-08-21_girls-tennis.jpg,4e63f1d7-8346-4310-850a-3ffbe61ffc22
2025-08-25,08/25,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,,,,2025-08-25_girls-tennis,2025-08-25_girls-tennis.jpg,cba172b7-067b-4db2-921c-1cae96ee29b1
2025-08-26,08/26,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,,,,2025-08-26_girls-tennis,2025-08-26_girls-tennis.jpg,05aaf0e7-52a0-41fe-8ac7-a6aaa61b17c1
2025-08-27,08/27,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-27_girls-tennis,2025-08-27_girls-tennis.jpg,53d7d8d4-5788-48ca-b1c4-3e69e75afd9d
2025-09-02,09/02,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Home,vs,Liberty,Leopards,Liberty Leopards,Poland Seminary High School,Game,false,false,false,false,,,,2025-09-02_girls-tennis,2025-09-02_girls-tennis.jpg,a9ac42df-71b6-4d39-9819-7ac785fbebe7
2025-09-08,09/08,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:30 PM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,,,,2025-09-08_girls-tennis,2025-09-08_girls-tennis.jpg,3ac79211-c230-4f9e-9228-d22bfb3b9562
2025-09-10,09/10,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,,,,2025-09-10_girls-tennis,2025-09-10_girls-tennis.jpg,092e2510-ca25-4a14-b00c-8fa24f7837e9
2025-09-15,09/15,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,,,,2025-09-15_girls-tennis,2025-09-15_girls-tennis.jpg,a6659c94-f1d2-47e3-8f00-8764a66aeb96
2025-09-16,09/16,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2025-09-16_girls-tennis,2025-09-16_girls-tennis.jpg,215a65da-596d-4144-a24b-53faf6313df9
2025-09-25,09/25,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,true,false,false,false,,,,2025-09-25_girls-tennis,2025-09-25_girls-tennis.jpg,8e1a36e0-0eca-449d-87e5-be8abb01350e
2025-10-01,10/01,2025,Girls Tennis,girls-tennis,varsity,Varsity,04:00 PM,Away,'@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,false,false,false,true,,,,2025-10-01_girls-tennis,2025-10-01_girls-tennis.jpg,0b89d63b-079f-48df-a736-6555645f25d3
