eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-08-02,08/02,Boys Soccer,boys-soccer,jv,JV,10:00 AM,Away,@,Louisville,Leopards,Louisville Leopards,Louisville High School,false,false,2025-08-02_jv_boys-soccer,2025-08-02_jv_boys-soccer.jpg,1733918d-3f0b-4558-85ce-9771ca257ca1
2025-08-04,08/04,Girls Soccer,girls-soccer,jv,JV,06:00 PM,Away,@,Warren G. Harding,Raiders,Warren G. Harding Raiders,Warren G Harding High School,false,false,2025-08-04_jv_girls-soccer,2025-08-04_jv_girls-soccer.jpg,2bba539a-db97-4fbb-b529-84e47092446d
2025-08-06,08/06,Boys Soccer,boys-soccer,jv,JV,05:00 PM,Away,@,Warren G. Harding,Raiders,Warren G. Harding Raiders,Warren G Harding High School,false,false,2025-08-06_jv_boys-soccer,2025-08-06_jv_boys-soccer.jpg,a11e2250-44a8-4d0a-97f5-9420b6e31e71
2025-08-06,08/06,Girls Soccer,girls-soccer,jv,JV,05:30 PM,Home,vs,Austintown Fitch,Falcons,Austintown Fitch Falcons,Poland Seminary High School,false,false,2025-08-06_jv_girls-soccer,2025-08-06_jv_girls-soccer.jpg,0ab0f051-a2e3-416c-af8d-0583fa013481
2025-08-13,08/13,Girls Soccer,girls-soccer,jv,JV,06:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,false,false,2025-08-13_jv_girls-soccer,2025-08-13_jv_girls-soccer.jpg,0d4245a0-aff4-4b6a-b254-32b5c1328c50
2025-08-18,08/18,Volleyball,volleyball,jv,JV,05:30 PM,Away,@,Campbell,Red Devils,Campbell Red Devils,Campbell Memorial High School,false,false,2025-08-18_jv_volleyball,2025-08-18_jv_volleyball.jpg,5e27eebf-7aeb-43ee-83a8-674c5597f620
2025-08-18,08/18,Girls Soccer,girls-soccer,jv,JV,06:15 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,false,false,2025-08-18_jv_girls-soccer,2025-08-18_jv_girls-soccer.jpg,83dae2c4-4a86-4743-9841-21614ab4dbd4
2025-08-19,08/19,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,false,false,2025-08-19_jv_volleyball,2025-08-19_jv_volleyball.jpg,13f9da89-5a3b-496e-b77c-a1a0be4b9073
2025-08-19,08/19,Boys Soccer,boys-soccer,jv,JV,05:30 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,false,false,2025-08-19_jv_boys-soccer,2025-08-19_jv_boys-soccer.jpg,e2e368c8-e9db-459e-9fdf-64c30efc2dc9
2025-08-21,08/21,Volleyball,volleyball,jv,JV,05:30 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2025-08-21_jv_volleyball,2025-08-21_jv_volleyball.jpg,1ca354cc-043d-42ae-a8b8-2c66dacf1c84
