eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-12-06,12/06,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,10:00 AM,Away,'@,Boardman Center Intermediate,,Boardman Center Intermediate,Boardman High School,Game,false,false,false,false,,,,2025-12-06_ms_boys-wrestling,2025-12-06_ms_boys-wrestling.jpg,ae76cab5-4ab3-47f4-92ec-a44a6d82664c
2025-12-13,12/13,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,09:00 AM,Away,'@,Manchester Duals,,Manchester Duals,Manchester High School,Game,false,false,false,false,,,,2025-12-13_ms_boys-wrestling,2025-12-13_ms_boys-wrestling.jpg,0d4fde99-f846-41d8-9497-3504c414726f
2025-12-20,12/20,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,10:00 AM,Away,'@,Hubbard Invite,,Hubbard Invite,South Range High School,Game,false,false,false,false,,,,2025-12-20_ms_boys-wrestling,2025-12-20_ms_boys-wrestling.jpg,daad54bc-4d90-4c14-b7ea-c962451573cb
2025-12-27,12/27,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,09:00 AM,Home,vs,Youth Wrestling Duals,,Youth Wrestling Duals,Poland Seminary High School,Game,true,false,false,false,,,,2025-12-27_ms_boys-wrestling,2025-12-27_ms_boys-wrestling.jpg,0816a791-4621-4ce7-a5f5-a2217abb1f05
2026-01-03,01/03,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,09:00 AM,Away,'@,Fitch Duals,,Fitch Duals,Austintown Fitch High School,Game,false,false,false,false,,,,2026-01-03_ms_boys-wrestling,2026-01-03_ms_boys-wrestling.jpg,f6cd0344-ecb0-4cb4-af90-24bf7f6b962c
2026-01-07,01/07,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,05:00 PM,Away,'@,NE8 Championship Meet,,NE8 Championship Meet,Girard Sr High School,Game,false,false,false,false,,,,2026-01-07_ms_boys-wrestling,2026-01-07_ms_boys-wrestling.jpg,17a1965e-a985-4bfa-bf6a-3b4ff772b66c
2026-01-14,01/14,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,06:00 PM,Home,vs,SALEM JUNIOR HIGH SCHOOL,,SALEM JUNIOR HIGH SCHOOL,Poland Seminary High School,Game,false,false,false,false,,,,2026-01-14_ms_boys-wrestling,2026-01-14_ms_boys-wrestling.jpg,186859e6-adf6-4df9-a782-118a613d28f1
2026-01-24,01/24,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,09:00 AM,Away,'@,Canfield Duals,,Canfield Duals,Canfield High School,Game,false,false,false,false,,,,2026-01-24_ms_boys-wrestling,2026-01-24_ms_boys-wrestling.jpg,ead6ba64-d875-49c0-963d-3af17ee544e2
2026-02-06,02/06,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,04:00 PM,Away,'@,EOWL Tournament,,EOWL Tournament,Liberty High School,Game,false,false,false,false,,,,2026-02-06_ms_boys-wrestling,2026-02-06_ms_boys-wrestling.jpg,43e10458-24e1-4506-b551-f8437028390f
2026-02-07,02/07,2025-2026,Boys Wrestling,boys-wrestling,ms,Middle School,11:00 AM,Away,'@,EOWL Tournament,,EOWL Tournament,Liberty High School,Game,false,false,false,false,,,,2026-02-07_ms_boys-wrestling,2026-02-07_ms_boys-wrestling.jpg,82801c43-ed54-4af2-8e12-8069712635f7
