eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-02-23,02/23,Track & Field,track-field,varsity,Varsity,02:30 PM,Home,vs,High School Track Team Meeting,,High School Track Team Meeting,Poland Seminary High School,false,false,2026-02-23_track-field,2026-02-23_track-field.jpg,81fdc819-8cd3-4bb6-bfd7-b86516be61ce
2026-03-27,03/27,Track & Field,track-field,varsity,Varsity,02:30 PM,Home,vs,Media Day Pictures,,Media Day Pictures,Poland Seminary High School,false,false,2026-03-27_track-field,2026-03-27_track-field.jpg,ebf9bdac-1651-4d96-a180-70b1f03c1e2d
2026-03-31,03/31,Track & Field,track-field,varsity,Varsity,04:45 PM,Away,@,"\, Niles McKinley High School\, Lakeview High School",,"\, Niles McKinley High School\, Lakeview High School",South Range High School,false,false,2026-03-31_track-field,2026-03-31_track-field.jpg,9fbd4315-396e-404f-8bd9-5001b88d071b
2026-04-08,04/08,Track & Field,track-field,varsity,Varsity,04:45 PM,Away,@,"Struthers High School\, Niles McKinley High School",,"Struthers High School\, Niles McKinley High School",Struthers High School,false,false,2026-04-08_track-field,2026-04-08_track-field.jpg,c227a09d-0f4e-43ad-a08b-34693a9e6803
2026-04-14,04/14,Track & Field,track-field,varsity,Varsity,04:45 PM,Home,vs,"Lakeview High School\, Struthers High School\, Girard Sr High School",,"Lakeview High School\, Struthers High School\, Girard Sr High School",Poland Seminary High School,false,false,2026-04-14_track-field,2026-04-14_track-field.jpg,6b437aad-af81-4fa2-9029-1c26aebc6147
2026-04-18,04/18,Track & Field,track-field,varsity,Varsity,09:00 AM,Away,@,Boardman Invite,,Boardman Invite,Boardman High School,false,false,2026-04-18_track-field,2026-04-18_track-field.jpg,8e11a816-0ee9-4afb-914b-8c8066f1fb7a
2026-04-21,04/21,Track & Field,track-field,varsity,Varsity,04:45 PM,Away,@,"Girard Sr High School\, Struthers High School\, Niles McKinley High School",,"Girard Sr High School\, Struthers High School\, Niles McKinley High School",Girard Sr High School,false,false,2026-04-21_track-field,2026-04-21_track-field.jpg,6a3fc7c1-aa27-4d4f-813a-374bcac47f8c
2026-04-25,04/25,Track & Field,track-field,varsity,Varsity,09:00 AM,Home,vs,Poland Track and Field Invite 30th Year,,Poland Track and Field Invite 30th Year,Poland Seminary High School,false,false,2026-04-25_track-field,2026-04-25_track-field.jpg,08471d5c-4692-4eb5-9d38-8dcc93defc51
2026-04-28,04/28,Track & Field,track-field,varsity,Varsity,04:45 PM,Away,@,"Girard Sr High School\, Lakeview High School\, Niles McKinley High School",,"Girard Sr High School\, Lakeview High School\, Niles McKinley High School",Girard Sr High School,false,false,2026-04-28_track-field,2026-04-28_track-field.jpg,5e8d36c4-b4e3-4a4c-96cd-8f868246e418
2026-05-04,05/04,Track & Field,track-field,varsity,Varsity,02:45 PM,Home,vs,Track Senior Night,,Track Senior Night,Poland Seminary High School,false,false,2026-05-04_track-field,2026-05-04_track-field.jpg,6fca0193-4490-424c-b81e-1f2a30cd313a
2026-05-05,05/05,Track & Field,track-field,varsity,Varsity,04:45 PM,Away,@,Mahoning Co. Varsity Championship,,Mahoning Co. Varsity Championship,Austintown Fitch High School,false,false,2026-05-05_track-field,2026-05-05_track-field.jpg,ad1d0a5a-10c2-4087-b8b6-9f2acc815071
2026-05-12,05/12,Track & Field,track-field,varsity,Varsity,04:30 PM,Home,vs,Northeast 8 Championship Meet,,Northeast 8 Championship Meet,Poland Seminary High School,false,false,2026-05-12_track-field,2026-05-12_track-field.jpg,4aa66197-e954-4d14-a302-39ee97ca056e
