eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-06-30,06/30,2024,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Volleyball Open Gyms,,Practice: Volleyball Open Gyms,Poland Seminary High School,Practice,false,false,false,false,,,,2025-06-30_volleyball,2025-06-30_volleyball.jpg,f895b5cf-073e-4e2d-b984-10cc3cdb3a0f
2025-07-01,07/01,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-01_volleyball,2025-07-01_volleyball.jpg,de756180-b38e-48fc-a3fa-ca0b8ebd2972
2025-07-02,07/02,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-02_volleyball,2025-07-02_volleyball.jpg,ec110a94-1f61-4c59-8b15-27882d683b79
2025-07-09,07/09,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-09_volleyball,2025-07-09_volleyball.jpg,71258230-9bdd-4f6b-93e9-d8c791980430
2025-07-10,07/10,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-10_volleyball,2025-07-10_volleyball.jpg,284564e0-ce10-4340-8535-8e7752a37b3b
2025-07-16,07/16,2025,Volleyball,volleyball,varsity,Varsity,09:00 AM,Home,vs,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Poland Seminary High School,Game,false,false,false,false,,,,2025-07-16_volleyball,2025-07-16_volleyball.jpg,73d39242-7931-4d94-9002-e0934f3a41c7
2025-07-19,07/19,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-19_volleyball,2025-07-19_volleyball.jpg,dcfa115e-4474-4f68-8811-d2e9008775d2
2025-07-22,07/22,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-22_volleyball,2025-07-22_volleyball.jpg,3bc49a5c-dd30-4c2a-a97d-29041d346b15
2025-07-24,07/24,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-24_volleyball,2025-07-24_volleyball.jpg,ab1eef68-06b4-4cc1-9c90-f2d59065060a
2025-07-26,07/26,2025,Volleyball,volleyball,varsity,Varsity,08:00 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2025-07-26_volleyball,2025-07-26_volleyball.jpg,820cd40b-c692-49f9-9839-91c0d5e6c7cd
2025-08-05,08/05,2025,Volleyball,volleyball,varsity,Varsity,09:00 AM,Home,vs,Ursuline,Fighting Irish,Ursuline Fighting Irish,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-05_volleyball,2025-08-05_volleyball.jpg,21e5bde5-b66e-43c5-8895-389b023c4a62
2025-08-09,08/09,2025,Volleyball,volleyball,varsity,Varsity,10:00 AM,Home,vs,Champion,Golden Flashes,Champion Golden Flashes,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-09_volleyball,2025-08-09_volleyball.jpg,a42c9ec8-8f49-4c49-8ce7-f4508b4d7a7a
2025-08-12,08/12,2025,Volleyball,volleyball,varsity,Varsity,05:00 PM,Away,'@,East Palestine,Bulldogs,East Palestine Bulldogs,East Palestine High School,Game,false,false,false,false,,,,2025-08-12_volleyball,2025-08-12_volleyball.jpg,44a4b1e9-582e-4e7e-9659-d0ba21456da6
2025-08-18,08/18,2025,Volleyball,volleyball,varsity,Varsity,07:00 PM,Away,'@,Campbell,Red Devils,Campbell Red Devils,Campbell Memorial High School,Game,false,false,false,false,,,,2025-08-18_volleyball,2025-08-18_volleyball.jpg,fca66071-0272-49b7-be4d-dc811d0c570d
2025-08-19,08/19,2025,Volleyball,volleyball,varsity,Varsity,07:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,,,,2025-08-19_volleyball,2025-08-19_volleyball.jpg,a22b3a10-d3d6-4f7d-92d9-d90d1fb343d5
2025-08-21,08/21,2025,Volleyball,volleyball,varsity,Varsity,07:15 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,,,,2025-08-21_volleyball,2025-08-21_volleyball.jpg,d383db1c-dc61-4b6f-8eee-187edb99b417
2025-08-25,08/25,2025,Volleyball,volleyball,varsity,Varsity,07:00 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,,,,2025-08-25_volleyball,2025-08-25_volleyball.jpg,51579128-46ce-492d-8652-81d208fbb96f
2025-08-26,08/26,2025,Volleyball,volleyball,varsity,Varsity,07:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,,,,2025-08-26_volleyball,2025-08-26_volleyball.jpg,bc507696-5dfd-40b5-8ca6-68352b5c6407
2025-08-28,08/28,2025,Volleyball,volleyball,varsity,Varsity,07:00 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2025-08-28_volleyball,2025-08-28_volleyball.jpg,d383f1fc-eade-40fd-9629-fe5eaa349a27
2025-09-02,09/02,2025,Volleyball,volleyball,varsity,Varsity,07:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,,,,2025-09-02_volleyball,2025-09-02_volleyball.jpg,c59b9749-98a8-4cb1-8c29-692da6281e8a
