eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-08-20,08/20,2025,Football,football,7th,7th Grade,04:30 PM,Home,vs,SALEM JUNIOR HIGH SCHOOL,,SALEM JUNIOR HIGH SCHOOL,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-20_7th_football,2025-08-20_7th_football.jpg,6e3592e4-fd80-4087-8556-baa4e2e1915a
2025-09-04,09/04,2025,Football,football,7th,7th Grade,06:15 PM,Away,'@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,Game,false,false,false,false,,,,2025-09-04_7th_football,2025-09-04_7th_football.jpg,15b6c203-7195-44c4-a5f5-959304012789
2025-09-11,09/11,2025,Football,football,7th,7th Grade,04:30 PM,Away,'@,CANFIELD VILLAGE MIDDLE SCHOOL,,CANFIELD VILLAGE MIDDLE SCHOOL,CANFIELD VILLAGE MIDDLE SCHOOL,Game,false,false,false,false,,,,2025-09-11_7th_football,2025-09-11_7th_football.jpg,9636624c-72c1-4248-a945-cd79f2c7582e
2025-09-25,09/25,2025,Football,football,7th,7th Grade,06:00 PM,Away,'@,South Range Middle School,,South Range Middle School,South Range Middle School,Game,false,false,false,false,,,,2025-09-25_7th_football,2025-09-25_7th_football.jpg,caabd443-75c4-493b-a044-c972b086ae5c
2025-10-01,10/01,2025,Football,football,7th,7th Grade,05:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,Game,false,false,false,false,,,,2025-10-01_7th_football,2025-10-01_7th_football.jpg,cccc2503-be16-43ab-9873-ed988a8e3893
2025-10-08,10/08,2025,Football,football,7th,7th Grade,05:30 PM,Away,'@,BEAVER LOCAL MIDDLE SCHOOL,,BEAVER LOCAL MIDDLE SCHOOL,BEAVER LOCAL MIDDLE SCHOOL,Game,false,false,false,false,,,,2025-10-08_7th_football,2025-10-08_7th_football.jpg,b037a0c7-f0a3-427d-baff-24bfe26492f5
2026-08-26,08/26,2026,Football,football,7th,7th Grade,05:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,Game,false,false,false,false,,,,2026-08-26_7th_football,2026-08-26_7th_football.jpg,0e918c8f-17bd-4cd1-a82b-92c5e1b5f697
2026-09-03,09/03,2026,Football,football,7th,7th Grade,04:30 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,,,,2026-09-03_7th_football,2026-09-03_7th_football.jpg,d15ca1e6-9f62-425c-8839-ebb640c80b3d
2026-09-09,09/09,2026,Football,football,7th,7th Grade,04:30 PM,Home,vs,CANFIELD VILLAGE MIDDLE SCHOOL,,CANFIELD VILLAGE MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,,,,2026-09-09_7th_football,2026-09-09_7th_football.jpg,818eeafd-688c-4b8b-ae1c-7ab5f7396863
2026-09-17,09/17,2026,Football,football,7th,7th Grade,06:00 PM,Away,'@,HOLY FAMILY ELEMENTARY SCHOOL,,HOLY FAMILY ELEMENTARY SCHOOL,HOLY FAMILY ELEMENTARY SCHOOL,Game,false,false,false,false,,,,2026-09-17_7th_football,2026-09-17_7th_football.jpg,a3ceedef-54e7-436f-a282-d5ed55485239
2026-09-23,09/23,2026,Football,football,7th,7th Grade,04:30 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,Game,false,false,false,false,,,,2026-09-23_7th_football,2026-09-23_7th_football.jpg,dcd007e4-f5ca-42d4-b778-1378be350ea0
2026-09-30,09/30,2026,Football,football,7th,7th Grade,05:00 PM,Away,'@,Niles Middle School,,Niles Middle School,Niles Middle School,Game,false,false,false,false,,,,2026-09-30_7th_football,2026-09-30_7th_football.jpg,a98077d7-c30f-4755-9cdb-becb90890c52
