eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-08-24,08/24,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,false,false,2026-08-24_8th_volleyball,2026-08-24_8th_volleyball.jpg,9fade217-e56c-443e-85a9-cdf8b33b313a
2026-08-26,08/26,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,false,false,2026-08-26_8th_volleyball,2026-08-26_8th_volleyball.jpg,361f09e3-26a4-46b9-b4d6-1438acc6b2c6
2026-08-26,08/26,Football,football,8th,8th Grade,06:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-08-26_8th_football,2026-08-26_8th_football.jpg,b2e69da6-8f5f-4ec6-abef-cd8bdc7ee4fa
2026-08-31,08/31,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2026-08-31_8th_volleyball,2026-08-31_8th_volleyball.jpg,f0c05c16-25a4-4859-b4e7-75d2f1a2f43a
2026-09-02,09/02,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Hubbard MS,,Hubbard MS,Hubbard MS,false,false,2026-09-02_8th_volleyball,2026-09-02_8th_volleyball.jpg,9b4553a7-88d6-4220-a9c1-15570880dcc3
2026-09-03,09/03,Football,football,8th,8th Grade,06:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-09-03_8th_football,2026-09-03_8th_football.jpg,bc0165e1-e832-4140-8c35-fdd802f74d38
2026-09-07,09/07,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-09-07_8th_volleyball,2026-09-07_8th_volleyball.jpg,2b34b2a0-2780-4967-b4d2-0a3b6574a149
2026-09-09,09/09,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,GLENWOOD MIDDLE SCHOOL,,GLENWOOD MIDDLE SCHOOL,GLENWOOD MIDDLE SCHOOL,false,false,2026-09-09_8th_volleyball,2026-09-09_8th_volleyball.jpg,dbcfa1f3-81f3-4407-a837-db0692d4bb1d
2026-09-09,09/09,Football,football,8th,8th Grade,06:00 PM,Home,vs,CANFIELD VILLAGE MIDDLE SCHOOL,,CANFIELD VILLAGE MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-09-09_8th_football,2026-09-09_8th_football.jpg,254ac16f-6aa4-414e-9ef3-6f60e9989cd5
2026-09-14,09/14,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Niles Middle School,,Niles Middle School,Niles Middle School,false,false,2026-09-14_8th_volleyball,2026-09-14_8th_volleyball.jpg,f96beae9-ee77-49d6-9aa7-50e8cfbdf54f
