eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-06-18,06/18,Volleyball,volleyball,8th,8th Grade,12:00 PM,Home,vs,MS Volleyball Open Gym,,MS Volleyball Open Gym,Poland Seminary High School,false,false,2025-06-18_8th_volleyball,2025-06-18_8th_volleyball.jpg,8fd3c29a-1d79-45d2-9146-8adc603ee3b3
2025-07-07,07/07,Volleyball,volleyball,8th,8th Grade,12:00 PM,Home,vs,MS Volleyball Open Gym,,MS Volleyball Open Gym,Poland Seminary High School,false,false,2025-07-07_8th_volleyball,2025-07-07_8th_volleyball.jpg,43f6818c-a6a7-4c67-853e-9709639a35ff
2025-07-09,07/09,Volleyball,volleyball,8th,8th Grade,12:00 PM,Home,vs,MS Volleyball Open Gym,,MS Volleyball Open Gym,Poland Seminary High School,false,false,2025-07-09_8th_volleyball,2025-07-09_8th_volleyball.jpg,d559dda7-7ee6-4ea7-aca1-3d23e1ee1cfa
2025-07-21,07/21,Volleyball,volleyball,8th,8th Grade,12:00 PM,Home,vs,MS Volleyball Open Gym,,MS Volleyball Open Gym,Poland Seminary High School,false,false,2025-07-21_8th_volleyball,2025-07-21_8th_volleyball.jpg,1bf5bb13-deb4-4a4e-a56b-ad6c40ccfa1f
2025-07-23,07/23,Volleyball,volleyball,8th,8th Grade,12:00 PM,Home,vs,MS Volleyball Open Gym,,MS Volleyball Open Gym,Poland Seminary High School,false,false,2025-07-23_8th_volleyball,2025-07-23_8th_volleyball.jpg,2fcad8d5-6a8f-423e-8507-a0965f9775bb
2025-08-14,08/14,Volleyball,volleyball,8th,8th Grade,05:00 PM,Home,vs,Lordstown,Red Devils,Lordstown Red Devils,Poland Seminary High School,false,false,2025-08-14_8th_volleyball,2025-08-14_8th_volleyball.jpg,19b5209a-7cb5-44d3-beca-550c9e360241
2025-08-18,08/18,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,false,false,2025-08-18_8th_volleyball,2025-08-18_8th_volleyball.jpg,16f5c479-24e2-4a3c-99d8-819bd6b3d64b
2025-08-20,08/20,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,South Range Middle School,,South Range Middle School,South Range Middle School,false,false,2025-08-20_8th_volleyball,2025-08-20_8th_volleyball.jpg,6ff36af2-729f-4491-acb8-65e8256727e3
2025-08-25,08/25,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,false,false,2025-08-25_8th_volleyball,2025-08-25_8th_volleyball.jpg,4eb0bb27-dfb2-4584-ab83-c8285a530c95
2025-08-27,08/27,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2025-08-27_8th_volleyball,2025-08-27_8th_volleyball.jpg,92beff71-4d42-4418-9dd7-47836deccc4f
2025-09-02,09/02,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Hubbard MS,,Hubbard MS,Hubbard MS,false,false,2025-09-02_8th_volleyball,2025-09-02_8th_volleyball.jpg,ac48131a-6e6c-4265-98c9-d79553e0040b
2025-09-04,09/04,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Boardman Center Intermediate - Boardman White,,Boardman Center Intermediate - Boardman White,Poland Seminary High School,false,false,2025-09-04_8th_volleyball,2025-09-04_8th_volleyball.jpg,2a6e83e2-cccf-4ba4-b2ca-1a3511edce5f
2025-09-08,09/08,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,false,false,2025-09-08_8th_volleyball,2025-09-08_8th_volleyball.jpg,87c23f88-d5ca-409d-832c-f2e3a119ff14
2025-09-10,09/10,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Niles Middle School,,Niles Middle School,Niles Middle School,false,false,2025-09-10_8th_volleyball,2025-09-10_8th_volleyball.jpg,f43af7db-e565-4213-9632-e3598e2f27a2
2025-09-15,09/15,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,false,false,2025-09-15_8th_volleyball,2025-09-15_8th_volleyball.jpg,7d816119-1cfb-4fe5-89f4-ced690fabffd
2025-09-17,09/17,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,false,false,2025-09-17_8th_volleyball,2025-09-17_8th_volleyball.jpg,03752471-b9a5-4494-a372-06d75e7317ac
2025-09-22,09/22,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2025-09-22_8th_volleyball,2025-09-22_8th_volleyball.jpg,ae744ebc-62f1-4429-bc6c-2a5cb00b1b6b
2025-09-24,09/24,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,false,false,2025-09-24_8th_volleyball,2025-09-24_8th_volleyball.jpg,acd2b3ef-7661-4088-bb7d-9d8effa1eaf0
2025-09-29,09/29,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Boardman Center Intermediate - Boardman Maroon,,Boardman Center Intermediate - Boardman Maroon,Boardman Center Intermediate,false,false,2025-09-29_8th_volleyball,2025-09-29_8th_volleyball.jpg,11362f12-2d76-4cf6-bf43-9f768ef0ecd4
2025-10-01,10/01,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,false,false,2025-10-01_8th_volleyball,2025-10-01_8th_volleyball.jpg,2892ca12-cfdb-41ae-bed2-76eab1255d1c
2025-10-06,10/06,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2025-10-06_8th_volleyball,2025-10-06_8th_volleyball.jpg,02f312dd-71ad-44f5-906f-15b5a7e0ca98
2025-10-08,10/08,Volleyball,volleyball,8th,8th Grade,06:30 PM,Home,vs,NE 8 Championship,,NE 8 Championship,Poland Seminary High School,false,false,2025-10-08_8th_volleyball,2025-10-08_8th_volleyball.jpg,a1fdd874-f5fe-4df9-bdd5-7696470fee94
2026-08-24,08/24,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,false,false,2026-08-24_8th_volleyball,2026-08-24_8th_volleyball.jpg,9fade217-e56c-443e-85a9-cdf8b33b313a
2026-08-26,08/26,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,false,false,2026-08-26_8th_volleyball,2026-08-26_8th_volleyball.jpg,361f09e3-26a4-46b9-b4d6-1438acc6b2c6
2026-08-31,08/31,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2026-08-31_8th_volleyball,2026-08-31_8th_volleyball.jpg,f0c05c16-25a4-4859-b4e7-75d2f1a2f43a
2026-09-02,09/02,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Hubbard MS,,Hubbard MS,Hubbard MS,false,false,2026-09-02_8th_volleyball,2026-09-02_8th_volleyball.jpg,9b4553a7-88d6-4220-a9c1-15570880dcc3
2026-09-07,09/07,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-09-07_8th_volleyball,2026-09-07_8th_volleyball.jpg,2b34b2a0-2780-4967-b4d2-0a3b6574a149
2026-09-09,09/09,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,GLENWOOD MIDDLE SCHOOL,,GLENWOOD MIDDLE SCHOOL,GLENWOOD MIDDLE SCHOOL,false,false,2026-09-09_8th_volleyball,2026-09-09_8th_volleyball.jpg,dbcfa1f3-81f3-4407-a837-db0692d4bb1d
2026-09-14,09/14,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Niles Middle School,,Niles Middle School,Niles Middle School,false,false,2026-09-14_8th_volleyball,2026-09-14_8th_volleyball.jpg,f96beae9-ee77-49d6-9aa7-50e8cfbdf54f
2026-09-16,09/16,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-09-16_8th_volleyball,2026-09-16_8th_volleyball.jpg,d6eed08d-b771-45e7-a43b-f1c99025e740
2026-09-21,09/21,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,South Range Middle School,,South Range Middle School,South Range Middle School,false,false,2026-09-21_8th_volleyball,2026-09-21_8th_volleyball.jpg,51db77c7-fa69-424a-b544-e29e9000741f
2026-09-23,09/23,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2026-09-23_8th_volleyball,2026-09-23_8th_volleyball.jpg,37de9064-87a7-46d9-8017-bdfa06d8ead7
2026-09-28,09/28,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,false,false,2026-09-28_8th_volleyball,2026-09-28_8th_volleyball.jpg,66787687-1374-4151-a5b2-57fea8ff4d62
2026-09-30,09/30,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,GLENWOOD MIDDLE SCHOOL,,GLENWOOD MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-09-30_8th_volleyball,2026-09-30_8th_volleyball.jpg,886ab2f8-a31d-44b3-bbfd-2c8bcc9b9f02
2026-10-05,10/05,Volleyball,volleyball,8th,8th Grade,06:00 PM,Away,@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,false,false,2026-10-05_8th_volleyball,2026-10-05_8th_volleyball.jpg,2502b22e-a7b1-4fa6-bb71-de2e08259948
2026-10-07,10/07,Volleyball,volleyball,8th,8th Grade,06:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,false,false,2026-10-07_8th_volleyball,2026-10-07_8th_volleyball.jpg,5e7d3b81-d762-4098-a973-1a79f16f2a43
2026-10-10,10/10,Volleyball,volleyball,8th,8th Grade,09:00 AM,Away,@,Northeast 8 Tournament,,Northeast 8 Tournament,Girard Sr High School,false,false,2026-10-10_8th_volleyball,2026-10-10_8th_volleyball.jpg,dfa61f93-6f7e-4562-9381-ef32e5818eaf
2026-10-12,10/12,Volleyball,volleyball,8th,8th Grade,TBA,Away,@,Ne 8 Tournament,,Ne 8 Tournament,TBD,false,true,2026-10-12_8th_volleyball,2026-10-12_8th_volleyball.jpg,3b73175c-51d7-45a2-8847-a4b98c5e2356
