eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-11-21,11/21,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,02:15 PM,Home,vs,Boys Lacrosse Meeting,,Boys Lacrosse Meeting,Poland Seminary High School,Game,false,false,false,false,,,,2025-11-21_boys-lacrosse,2025-11-21_boys-lacrosse.jpg,99cca325-1619-43af-9726-1539f0e169ea
2026-03-13,03/13,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,06:00 PM,Away,'@,Kent Roosevelt,Rough Riders,Kent Roosevelt Rough Riders,Theodore Roosevelt HS,Game,false,false,false,false,,,,2026-03-13_boys-lacrosse,2026-03-13_boys-lacrosse.jpg,9b59c00e-c2f9-46d0-87c3-f2458ca3055b
2026-03-21,03/21,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,12:00 PM,Away,'@,Canton Central Catholic,Crusaders,Canton Central Catholic Crusaders,Canton Central Catholic High School,Game,false,false,false,false,,,,2026-03-21_boys-lacrosse,2026-03-21_boys-lacrosse.jpg,25518e53-ed18-4888-aee6-dcea44174d7e
2026-03-24,03/24,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,06:30 PM,Home,vs,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-24_boys-lacrosse,2026-03-24_boys-lacrosse.jpg,cf762951-e86e-47c0-9fc9-ec78b0e82fe1
2026-03-31,03/31,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,06:30 PM,Away,'@,GlenOak,Golden Eagles,GlenOak Golden Eagles,GlenOak High School,Game,true,false,false,false,,,,2026-03-31_boys-lacrosse,2026-03-31_boys-lacrosse.jpg,0889bd01-8ef5-404c-a14a-4a81729fdefa
2026-04-01,04/01,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,04:00 PM,Home,vs,Boys Lacrosse Pictures,,Boys Lacrosse Pictures,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-01_boys-lacrosse,2026-04-01_boys-lacrosse.jpg,2f0e4586-bb22-403f-bce1-15233cbad7fb
2026-04-02,04/02,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,06:30 PM,Home,vs,Aurora,Green Men,Aurora Green Men,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-02_boys-lacrosse,2026-04-02_boys-lacrosse.jpg,0e3d36c4-56d8-42d1-b281-4135f29d6362
2026-04-14,04/14,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,07:00 PM,Away,'@,Kirtland,Hornets,Kirtland Hornets,Kirtland High School,Game,false,false,false,false,,,,2026-04-14_boys-lacrosse,2026-04-14_boys-lacrosse.jpg,26d29fd9-6aa7-47bf-a3c3-d471bcdc1064
2026-04-16,04/16,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,06:30 PM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2026-04-16_boys-lacrosse,2026-04-16_boys-lacrosse.jpg,d709131a-7624-4134-9423-1bc955ad1634
2026-04-21,04/21,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,06:30 PM,Home,vs,Southeast,Pirates,Southeast Pirates,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-21_boys-lacrosse,2026-04-21_boys-lacrosse.jpg,130b1ede-4f3e-4763-bbfe-92ae942b43bc
2026-04-23,04/23,2026,Boys Lacrosse,boys-lacrosse,varsity,Varsity,06:30 PM,Away,'@,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,St. Vincent-St. Mary H.S.,Game,false,false,false,false,,,,2026-04-23_boys-lacrosse,2026-04-23_boys-lacrosse.jpg,591c1bfd-e55a-4357-ad8f-649350130cdd
