eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-08-02,08/02,2025,Boys Soccer,boys-soccer,varsity,Varsity,12:00 PM,Away,@,Louisville,Leopards,Louisville Leopards,Louisville High School,Game,false,false,false,false,,,,2025-08-02_boys-soccer,2025-08-02_boys-soccer.jpg,547412db-70c5-4a07-ba10-fcf340ddb24b
2025-08-06,08/06,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,Warren G. Harding,Raiders,Warren G. Harding Raiders,Warren G Harding High School,Game,false,false,false,false,,,,2025-08-06_boys-soccer,2025-08-06_boys-soccer.jpg,6384f45c-f43a-4bf4-a546-6f273e5a1471
2025-08-12,08/12,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,United,Golden Eagles,United Golden Eagles,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-12_boys-soccer,2025-08-12_boys-soccer.jpg,475274b2-0ffa-4b8b-8f90-5afb8230920f
2025-08-19,08/19,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:30 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-19_boys-soccer,2025-08-19_boys-soccer.jpg,41257f3f-beef-43dd-b815-5bd83da7f0ce
2025-08-21,08/21,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,,,,2025-08-21_boys-soccer,2025-08-21_boys-soccer.jpg,f10956e0-c68b-4d29-a4e8-9380e65f6c16
2025-08-25,08/25,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,,,,2025-08-25_boys-soccer,2025-08-25_boys-soccer.jpg,c06478a4-b7d8-4189-a03d-3e23945b668d
2025-08-28,08/28,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,,,,2025-08-28_boys-soccer,2025-08-28_boys-soccer.jpg,b09e2d2a-96d9-4d16-a706-15990a7379ff
2025-09-02,09/02,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Beaver Local,Beavers,Beaver Local Beavers,Poland Seminary High School,Game,false,false,false,false,,,,2025-09-02_boys-soccer,2025-09-02_boys-soccer.jpg,5277acdd-1669-4fc4-9cfd-fd91b1ad19ad
2025-09-04,09/04,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,West Branch,Warriors,West Branch Warriors,West Branch High School,Game,false,false,false,false,,,,2025-09-04_boys-soccer,2025-09-04_boys-soccer.jpg,2897f720-e6b9-44a8-b512-8ea04f2abcd4
2025-09-06,09/06,2025,Boys Soccer,boys-soccer,varsity,Varsity,12:00 PM,Home,vs,Marlington,Dukes,Marlington Dukes,Poland Seminary High School,Game,false,false,false,false,,,,2025-09-06_boys-soccer,2025-09-06_boys-soccer.jpg,1cbfa6cc-1b85-4802-bd27-2676a6c00d18
2025-09-08,09/08,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,,,,2025-09-08_boys-soccer,2025-09-08_boys-soccer.jpg,86572716-17e9-44bb-be13-ad004e75f312
2025-09-11,09/11,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,Game,false,false,false,true,,,,2025-09-11_boys-soccer,2025-09-11_boys-soccer.jpg,31a09577-b8b2-451b-b527-13fdb28250cc
2025-09-15,09/15,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,,,,2025-09-15_boys-soccer,2025-09-15_boys-soccer.jpg,70735a7c-91b7-4c2a-a1c4-d70ecd9b9725
2025-09-18,09/18,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:15 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2025-09-18_boys-soccer,2025-09-18_boys-soccer.jpg,09277c83-badb-4d28-81de-7020a085dc8e
2025-09-22,09/22,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,,,,2025-09-22_boys-soccer,2025-09-22_boys-soccer.jpg,6d331a55-b585-48d4-9c53-8a7cbbc05494
2025-09-25,09/25,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:30 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,,,,2025-09-25_boys-soccer,2025-09-25_boys-soccer.jpg,1f0b567e-44d3-4097-bde7-f19efe5d781e
2025-09-30,09/30,2025,Boys Soccer,boys-soccer,varsity,Varsity,06:00 PM,Away,@,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,Game,false,false,false,false,,,,2025-09-30_boys-soccer,2025-09-30_boys-soccer.jpg,9b9812ba-742d-4a29-af15-c0957b2bc156
