eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2026-02-19,02/19,2026,Boys Tennis,boys-tennis,varsity,Varsity,02:15 PM,Home,vs,Boys Tennis Meeting,,Boys Tennis Meeting,Poland Seminary High School,Game,false,false,false,false,,,,2026-02-19_boys-tennis,2026-02-19_boys-tennis.jpg,6ef9987e-d198-4056-b551-0d72f92edb2e
2026-03-27,03/27,2026,Boys Tennis,boys-tennis,varsity,Varsity,TBA,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,true,false,,,,2026-03-27_boys-tennis,2026-03-27_boys-tennis.jpg,07e13a82-7994-45bf-984e-74540e0a8cf1
2026-04-01,04/01,2026,Boys Tennis,boys-tennis,varsity,Varsity,02:30 PM,Home,vs,Boys Tennis Team Pictures,,Boys Tennis Team Pictures,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-01_boys-tennis,2026-04-01_boys-tennis.jpg,6a615259-513e-454f-a8bb-06afa53daea0
2026-04-01,04/01,2026,Boys Tennis,boys-tennis,varsity,Varsity,05:00 PM,Away,@,East Liverpool,Potters,East Liverpool Potters,East Liverpool High School,Game,true,false,false,false,,,,2026-04-01_boys-tennis-1,2026-04-01_boys-tennis-1.jpg,d113e1ac-db46-4440-b7df-671b34e47b50
2026-04-02,04/02,2026,Boys Tennis,boys-tennis,varsity,Varsity,05:00 PM,Away,@,Mentor,Cardinals,Mentor Cardinals,Mentor High School,Game,false,false,false,false,,,,2026-04-02_boys-tennis,2026-04-02_boys-tennis.jpg,a66a48eb-65fc-4a83-9886-4c151e9f7e58
2026-04-13,04/13,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,false,false,false,true,,,,2026-04-13_boys-tennis,2026-04-13_boys-tennis.jpg,ea9cad7b-9f5c-4198-8649-9bb536047843
2026-04-15,04/15,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,,,,2026-04-15_boys-tennis,2026-04-15_boys-tennis.jpg,c47a21fe-783a-412e-b0e9-f9786160af2e
2026-04-16,04/16,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:30 PM,Away,@,Warren G. Harding,Raiders,Warren G. Harding Raiders,Lincoln Middle School,Game,true,false,false,false,,,,2026-04-16_boys-tennis,2026-04-16_boys-tennis.jpg,9336a17c-c112-4152-b395-4adbf27159fa
2026-04-17,04/17,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,,,,2026-04-17_boys-tennis,2026-04-17_boys-tennis.jpg,f7756db4-cb51-4b86-a263-67e152e36c43
2026-04-21,04/21,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Home,vs,Heartland Christian,Lions,Heartland Christian Lions,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-21_boys-tennis,2026-04-21_boys-tennis.jpg,25ca7300-0994-4291-b442-a77361439006
2026-04-23,04/23,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,true,false,false,true,,,,2026-04-23_boys-tennis,2026-04-23_boys-tennis.jpg,7b2d583d-3f27-493c-9045-9ac63ebb1196
2026-04-27,04/27,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Away,@,Austintown Fitch,Falcons,Austintown Fitch Falcons,Austintown Fitch High School,Game,false,false,false,false,,,,2026-04-27_boys-tennis,2026-04-27_boys-tennis.jpg,be692360-61fc-4dc3-9820-bbb4c8b168d1
2026-04-30,04/30,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,,,,2026-04-30_boys-tennis,2026-04-30_boys-tennis.jpg,1181221b-0ad4-4de4-b7a6-fa86723a6ed5
2026-05-04,05/04,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,,,,2026-05-04_boys-tennis,2026-05-04_boys-tennis.jpg,6dd574c0-dec4-49f5-9080-8b0a8d904caf
2026-05-05,05/05,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Home,vs,Austintown Fitch,Falcons,Austintown Fitch Falcons,Poland Seminary High School,Game,false,false,false,false,,,,2026-05-05_boys-tennis,2026-05-05_boys-tennis.jpg,b9c8fe12-3a13-4135-9997-be646cfc823a
2026-05-06,05/06,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:30 PM,Away,@,East Palestine,Bulldogs,East Palestine Bulldogs,East Palestine High School,Game,false,false,false,false,,,,2026-05-06_boys-tennis,2026-05-06_boys-tennis.jpg,7bcae021-9103-42f2-9ba5-6ff1225b6c00
2026-05-07,05/07,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,,,,2026-05-07_boys-tennis,2026-05-07_boys-tennis.jpg,0a75eb8a-35dd-4aca-aa44-25e62606f466
2026-05-08,05/08,2026,Boys Tennis,boys-tennis,varsity,Varsity,04:00 PM,Home,vs,East Liverpool,Potters,East Liverpool Potters,Poland Seminary High School,Game,false,false,false,false,,,,2026-05-08_boys-tennis,2026-05-08_boys-tennis.jpg,5cd267bf-17bc-4f6b-80f2-40b88c4748e9
2026-05-13,05/13,2026,Boys Tennis,boys-tennis,varsity,Varsity,08:30 AM,Home,vs,Sectional Match,,Sectional Match,Poland Seminary High School,Game,false,false,false,false,,,,2026-05-13_boys-tennis,2026-05-13_boys-tennis.jpg,4a835b17-2c3c-4ae8-9e1b-51ba2321fc29
