eventDate,cleanDate,sport,sportSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-12-06,12/06,Boys Wrestling,boys-wrestling,10:00 AM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,false,false,2025-12-06_boys-wrestling,2025-12-06_boys-wrestling.jpg,2f1bc455-d0a5-41dd-86b8-520b809f2c3c
2025-12-18,12/18,Boys Wrestling,boys-wrestling,06:00 PM,Home,vs,Brookfield,Warriors,Brookfield Warriors,Poland Seminary High School,false,false,2025-12-18_boys-wrestling,2025-12-18_boys-wrestling.jpg,be30ed0a-e71b-4d4a-b2a1-a87b385c19f0
2025-12-20,12/20,Boys Wrestling,boys-wrestling,09:00 AM,Away,@,Beaver Local,Beavers,Beaver Local Beavers,Beaver Local High School,false,false,2025-12-20_boys-wrestling,2025-12-20_boys-wrestling.jpg,3cd7e4d2-6764-4118-9a74-2241e736f931
2026-01-03,01/03,Boys Wrestling,boys-wrestling,09:00 AM,Away,@,Jackson-Milton,Bluejays,Jackson-Milton Bluejays,Jackson-Milton High School,false,false,2026-01-03_boys-wrestling,2026-01-03_boys-wrestling.jpg,70f914f2-6866-475d-8f36-11841b488290
2026-01-07,01/07,Boys Wrestling,boys-wrestling,05:00 PM,Away,@,NE8 Championship Meet,,NE8 Championship Meet,Girard Sr High School,false,false,2026-01-07_boys-wrestling,2026-01-07_boys-wrestling.jpg,7b5d7c53-0e6b-45d6-8559-bd64388e0867
2026-01-14,01/14,Boys Wrestling,boys-wrestling,07:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,false,false,2026-01-14_boys-wrestling,2026-01-14_boys-wrestling.jpg,22f0ca98-bdc4-41b8-8f58-59a2ca41799a
2026-01-17,01/17,Boys Wrestling,boys-wrestling,09:00 AM,Away,@,Berkshire,Badgers,Berkshire Badgers,Berkshire High School,false,false,2026-01-17_boys-wrestling,2026-01-17_boys-wrestling.jpg,be4adf16-b4b5-49f9-9738-e2987931d297
2026-01-21,01/21,Boys Wrestling,boys-wrestling,06:00 PM,Home,vs,Alliance,Aviators,Alliance Aviators,Poland Seminary High School,false,false,2026-01-21_boys-wrestling,2026-01-21_boys-wrestling.jpg,8b4b605f-6722-4999-9fad-c299dbd7a350
2026-01-23,01/23,Boys Wrestling,boys-wrestling,12:00 PM,Away,@,Hepner Memorial Tournament,,Hepner Memorial Tournament,Austintown Fitch High School,false,false,2026-01-23_boys-wrestling,2026-01-23_boys-wrestling.jpg,9909d444-211b-4047-b809-c1cad5b75d9c
2026-01-24,01/24,Boys Wrestling,boys-wrestling,09:00 AM,Away,@,Hepner Memorial Tournament,,Hepner Memorial Tournament,Austintown Fitch High School,false,false,2026-01-24_boys-wrestling,2026-01-24_boys-wrestling.jpg,0f7382a1-7592-42b2-b34f-564700e9dc9d
2026-01-30,01/30,Boys Wrestling,boys-wrestling,03:30 PM,Away,@,EOWL Tournament,,EOWL Tournament,Austintown Fitch High School,false,false,2026-01-30_boys-wrestling,2026-01-30_boys-wrestling.jpg,e4ffaf7c-e93b-4dec-81c1-5e1b1f1a2e99
2026-01-31,01/31,Boys Wrestling,boys-wrestling,10:00 AM,Away,@,EOWL Tournament,,EOWL Tournament,Austintown Fitch High School,false,false,2026-01-31_boys-wrestling,2026-01-31_boys-wrestling.jpg,ca834b8e-6d4e-44dc-a53f-5cbe63ef7eec
2026-02-07,02/07,Boys Wrestling,boys-wrestling,10:00 AM,Away,@,Cleveland Shaw Duals,,Cleveland Shaw Duals,Shaw High School,false,false,2026-02-07_boys-wrestling,2026-02-07_boys-wrestling.jpg,9c71e1d0-d9a2-4a64-bb5d-23d8f7dcd01b
2026-02-17,02/17,Boys Wrestling,boys-wrestling,06:00 PM,Away,@,Marlington,Dukes,Marlington Dukes,West Branch High School,false,false,2026-02-17_boys-wrestling,2026-02-17_boys-wrestling.jpg,a0b30404-171d-4f87-895b-74a22bd90951
