eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-08-26,08/26,2025,Cheerleading,cheerleading,varsity,Varsity,07:30 AM,Home,vs,cheer practice,,cheer practice,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-26_cheerleading,2025-08-26_cheerleading.jpg,33ca47ee-67da-45d2-9447-2813832d533a
2025-10-15,10/15,2025,Cheerleading,cheerleading,varsity,Varsity,02:45 PM,Home,vs,Practice: Cheerleading (Girls V) Practice,,Practice: Cheerleading (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2025-10-15_cheerleading,2025-10-15_cheerleading.jpg,4ef2ef5c-7997-4990-8816-a5f9764b821c
2025-10-16,10/16,2025,Cheerleading,cheerleading,varsity,Varsity,02:45 PM,Home,vs,Practice: Cheerleading (Girls V) Practice,,Practice: Cheerleading (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2025-10-16_cheerleading,2025-10-16_cheerleading.jpg,532db186-7892-4fb0-87c6-9760e4ceba3c
2025-10-22,10/22,2025,Cheerleading,cheerleading,varsity,Varsity,02:45 PM,Home,vs,Practice: Cheerleading (Girls V) Practice,,Practice: Cheerleading (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2025-10-22_cheerleading,2025-10-22_cheerleading.jpg,f0e44546-fecc-46b9-994b-e7b283b37c2f
2026-01-31,01/31,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,OASSA Regional Cheer Competition,,OASSA Regional Cheer Competition,Poland Seminary High School,Game,false,false,true,false,,,,2026-01-31_cheerleading,2026-01-31_cheerleading.jpg,6a417c56-3cb7-4376-8a19-a3902c06c576
2026-02-01,02/01,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,OASSA Regional Cheer Competition,,OASSA Regional Cheer Competition,Poland Seminary High School,Game,false,false,true,false,,,,2026-02-01_cheerleading,2026-02-01_cheerleading.jpg,33a947d0-d27f-4c8f-b276-186ed958ce97
2026-02-20,02/20,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,OASSA State Cheer Competiton,,OASSA State Cheer Competiton,Poland Seminary High School,Game,false,false,true,false,,,,2026-02-20_cheerleading,2026-02-20_cheerleading.jpg,501202af-f600-44fa-95bf-ec72f21a7501
2026-02-21,02/21,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,OASSA State Cheer Competiton,,OASSA State Cheer Competiton,Poland Seminary High School,Game,false,false,true,false,,,,2026-02-21_cheerleading,2026-02-21_cheerleading.jpg,a521923b-1a82-49a8-bf54-0a6b9bfd7f78
2026-03-03,03/03,2025,Cheerleading,cheerleading,varsity,Varsity,06:00 PM,Home,vs,Cheer Tryout Parent Meeting,,Cheer Tryout Parent Meeting,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-03_cheerleading,2026-03-03_cheerleading.jpg,ef957c3f-ae2a-4bcd-9f9b-a72d978808d4
2026-03-16,03/16,2025,Cheerleading,cheerleading,varsity,Varsity,03:00 PM,Home,vs,Cheerleading Clinic,,Cheerleading Clinic,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-16_cheerleading,2026-03-16_cheerleading.jpg,68195f62-cf89-4e08-a798-e7a7d779e235
2026-03-17,03/17,2025,Cheerleading,cheerleading,varsity,Varsity,03:00 PM,Home,vs,Cheerleading Clinic,,Cheerleading Clinic,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-17_cheerleading,2026-03-17_cheerleading.jpg,da580195-7b55-4ba7-b3ca-1fb3fbe768dc
2026-03-18,03/18,2025,Cheerleading,cheerleading,varsity,Varsity,03:00 PM,Home,vs,Cheerleading Clinic,,Cheerleading Clinic,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-18_cheerleading,2026-03-18_cheerleading.jpg,4efde1ef-f585-4c9f-9fd6-9d7257364a63
2026-03-19,03/19,2025,Cheerleading,cheerleading,varsity,Varsity,03:00 PM,Home,vs,Cheerleading Clinic,,Cheerleading Clinic,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-19_cheerleading,2026-03-19_cheerleading.jpg,833bba7f-d017-43a2-beeb-26966a104c39
2026-03-20,03/20,2025,Cheerleading,cheerleading,varsity,Varsity,03:00 PM,Home,vs,Cheerleading Tryouts,,Cheerleading Tryouts,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-20_cheerleading,2026-03-20_cheerleading.jpg,f851743f-22bc-442b-ab3d-a49a4f60a137
2026-06-05,06/05,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,Varsity Cheer Camp,,Varsity Cheer Camp,Poland Seminary High School,Game,false,false,true,false,,,,2026-06-05_cheerleading,2026-06-05_cheerleading.jpg,cda92260-e829-4f27-9275-a6e24f7cad33
2026-06-05,06/05,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,Jr High Cheer Camp,,Jr High Cheer Camp,Poland Seminary High School,Game,false,false,true,false,,,,2026-06-05_cheerleading-1,2026-06-05_cheerleading-1.jpg,797114c1-bf96-4ae3-88a8-c3cedf285db6
2026-06-08,06/08,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,Jr High Cheer Camp,,Jr High Cheer Camp,Poland Seminary High School,Game,false,false,true,false,,,,2026-06-08_cheerleading,2026-06-08_cheerleading.jpg,bec9f59c-9666-490c-a448-bc6a846349ab
2026-06-09,06/09,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,Jr High Cheer Camp,,Jr High Cheer Camp,Poland Seminary High School,Game,false,false,true,false,,,,2026-06-09_cheerleading,2026-06-09_cheerleading.jpg,5e7b6977-c800-4bd1-ad35-babdd41defd8
2026-06-10,06/10,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,Varsity Cheer Camp,,Varsity Cheer Camp,Poland Seminary High School,Game,false,false,true,false,,,,2026-06-10_cheerleading,2026-06-10_cheerleading.jpg,71ad7a46-f852-450e-a74a-92fadb3f11c7
2026-06-11,06/11,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,Varsity Cheer Camp,,Varsity Cheer Camp,Poland Seminary High School,Game,false,false,true,false,,,,2026-06-11_cheerleading,2026-06-11_cheerleading.jpg,06b29357-a88a-47e2-837d-6cfd4dd2447b
2026-06-12,06/12,2025,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,Varsity Cheer Camp,,Varsity Cheer Camp,Poland Seminary High School,Game,false,false,true,false,,,,2026-06-12_cheerleading,2026-06-12_cheerleading.jpg,bc31553c-ff41-4ac2-b023-0383b979cb76
2026-11-22,11/22,2026,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,OASSA Cheerleading Regional Qualifier,,OASSA Cheerleading Regional Qualifier,Poland Seminary High School,Game,false,false,true,false,,,,2026-11-22_cheerleading,2026-11-22_cheerleading.jpg,6d9ce21d-fbe9-44a4-ba77-c83692d482ab
2026-12-12,12/12,2026,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,OASSA Cheerleading Championship,,OASSA Cheerleading Championship,Poland Seminary High School,Game,false,false,true,false,,,,2026-12-12_cheerleading,2026-12-12_cheerleading.jpg,a54fa09e-149b-4749-b554-8455cc5744f9
2026-12-13,12/13,2026,Cheerleading,cheerleading,varsity,Varsity,TBA,Home,vs,OASSA Cheerleading Championship,,OASSA Cheerleading Championship,Poland Seminary High School,Game,false,false,true,false,,,,2026-12-13_cheerleading,2026-12-13_cheerleading.jpg,63eb64b3-7e17-4312-b3e4-f82c37f74dd5
