eventDate,cleanDate,sport,sportSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-08-08,08/08,Football,football,10:00 AM,Away,@,Streetsboro,Rockets,Streetsboro Rockets,Streetsboro High School,false,false,2025-08-08_football,2025-08-08_football.jpg,f86953e1-935a-447f-ae70-7bcc06321498
2025-08-14,08/14,Football,football,06:00 PM,Home,vs,Kirtland,Hornets,Kirtland Hornets,Poland Seminary High School,false,false,2025-08-14_football,2025-08-14_football.jpg,545692ba-7171-42e3-ac0a-b15a8e55cba5
2025-08-22,08/22,Football,football,07:00 PM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,false,false,2025-08-22_football,2025-08-22_football.jpg,93593bd5-5b46-43a3-adee-f560da046c53
2025-08-29,08/29,Football,football,07:00 PM,Home,vs,Youngstown East,Golden Bears,Youngstown East Golden Bears,Poland Seminary High School,false,false,2025-08-29_football,2025-08-29_football.jpg,bb172071-c109-4390-a05b-4f398b2a80e8
2025-09-05,09/05,Football,football,07:00 PM,Home,vs,Field,Falcons,Field Falcons,Poland Seminary High School,false,false,2025-09-05_football,2025-09-05_football.jpg,7d6b31fb-3b8e-4dbb-bd72-0d9ff7d52e55
2025-09-12,09/12,Football,football,07:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,false,false,2025-09-12_football,2025-09-12_football.jpg,1876567c-ce99-460b-85a9-037f915bc927
2025-09-19,09/19,Football,football,07:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,false,false,2025-09-19_football,2025-09-19_football.jpg,856b34a2-4280-41b0-aa29-ed8e3bdaf40c
2025-09-26,09/26,Football,football,07:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2025-09-26_football,2025-09-26_football.jpg,a6f17f6e-8f73-4a2f-ae5e-6d0e42bb8eef
2025-10-03,10/03,Football,football,07:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2025-10-03_football,2025-10-03_football.jpg,94a0abaf-d257-48c1-b096-6dd93a6e59e4
2025-10-10,10/10,Football,football,07:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2025-10-10_football,2025-10-10_football.jpg,e7975371-a528-48ee-88de-40e49d914a21
2025-10-17,10/17,Football,football,07:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,false,false,2025-10-17_football,2025-10-17_football.jpg,f84fbbb6-4d3b-4097-8fb1-0d9abfba835b
2025-10-24,10/24,Football,football,07:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,false,false,2025-10-24_football,2025-10-24_football.jpg,7addd576-fd88-4bac-8ed0-6e3cd8fa1f17
2025-11-07,11/07,Football,football,07:00 PM,Home,vs,Liberty,Leopards,Liberty Leopards,Poland Seminary High School,false,false,2025-11-07_football,2025-11-07_football.jpg,3f7bacd9-5d21-4452-aaeb-c6fc7f67c50e
2025-11-14,11/14,Football,football,07:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2025-11-14_football,2025-11-14_football.jpg,3020af18-b042-4d5a-8119-70abeeda1cd7
