eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2026-09-03,09/03,2026,Football,football,freshman,Freshman,07:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-03_freshman_football,2026-09-03_freshman_football.jpg,7ad0a651-2c50-496f-a29e-ef86ae5e8e3d
2026-09-09,09/09,2026,Football,football,freshman,Freshman,07:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,,,,2026-09-09_freshman_football,2026-09-09_freshman_football.jpg,5a726b5e-4722-4157-bdbe-1bdf5794a19a
2026-09-16,09/16,2026,Football,football,freshman,Freshman,07:30 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,,,,2026-09-16_freshman_football,2026-09-16_freshman_football.jpg,a2fe1ede-3006-4742-8242-0851491683f2
2026-09-23,09/23,2026,Football,football,freshman,Freshman,07:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-23_freshman_football,2026-09-23_freshman_football.jpg,f4a93307-56dd-4ef5-98a1-92229c15caf0
2026-09-30,09/30,2026,Football,football,freshman,Freshman,07:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,,,,2026-09-30_freshman_football,2026-09-30_freshman_football.jpg,168616aa-d4e5-4d49-bda0-91260665bdc2
2026-10-08,10/08,2026,Football,football,freshman,Freshman,06:00 PM,Home,vs,Beaver Local,Beavers,Beaver Local Beavers,Poland Seminary High School,Game,false,false,false,false,,,,2026-10-08_freshman_football,2026-10-08_freshman_football.jpg,66e37572-91f6-4d5c-9ed9-31a538cf706d
2026-12-07,12/07,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,false,false,false,true,,,,2026-12-07_freshman_boys-basketball,2026-12-07_freshman_boys-basketball.jpg,fb746db3-8c5e-4298-9df1-184ffad8ef29
2026-12-10,12/10,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,,,,2026-12-10_freshman_boys-basketball,2026-12-10_freshman_boys-basketball.jpg,864ce6f3-4004-418f-b408-09d88db78547
2026-12-14,12/14,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,,,,2026-12-14_freshman_boys-basketball,2026-12-14_freshman_boys-basketball.jpg,1d1de572-4656-46af-a587-28973a7a52ca
2026-12-16,12/16,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,,,,2026-12-16_freshman_boys-basketball,2026-12-16_freshman_boys-basketball.jpg,2d6f692d-6ca5-44c4-af30-8bdac1311b4c
2026-12-21,12/21,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,,,,2026-12-21_freshman_boys-basketball,2026-12-21_freshman_boys-basketball.jpg,53dac62c-b7f5-4247-bf5d-c9dbee1d5b0c
2027-01-04,01/04,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,,,,2027-01-04_freshman_boys-basketball,2027-01-04_freshman_boys-basketball.jpg,2c1e8ab3-28e5-476c-90a9-4265d19edf69
2027-01-06,01/06,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,,,,2027-01-06_freshman_boys-basketball,2027-01-06_freshman_boys-basketball.jpg,98215d64-7eb3-41dd-8036-978c280ad290
2027-01-11,01/11,2026-2027,Boys Basketball,boys-basketball,freshman,Freshman,05:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,,,,2027-01-11_freshman_boys-basketball,2027-01-11_freshman_boys-basketball.jpg,b459613e-003c-4e7d-af6e-5d3427043d33
