eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-12-01,12/01,Girls Basketball,girls-basketball,varsity,Varsity,06:15 PM,Home,vs,Badger,Braves,Badger Braves,Poland Seminary High School,false,false,2025-12-01_girls-basketball,2025-12-01_girls-basketball.jpg,cd8cb9c8-e773-489c-9b43-7778a57f9c58
2025-12-04,12/04,Girls Basketball,girls-basketball,varsity,Varsity,06:15 PM,Away,@,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,false,false,2025-12-04_girls-basketball,2025-12-04_girls-basketball.jpg,d0ded20a-5ec8-4ce4-ac28-ab49c8ca27c1
2025-12-08,12/08,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Youngstown East,Golden Bears,Youngstown East Golden Bears,Poland Seminary High School,false,false,2025-12-08_girls-basketball,2025-12-08_girls-basketball.jpg,63bffad3-c7a0-4a34-931f-6f36ae5ada27
2025-12-11,12/11,Girls Basketball,girls-basketball,varsity,Varsity,06:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,false,false,2025-12-11_girls-basketball,2025-12-11_girls-basketball.jpg,fd45f521-d1ec-4456-a898-e82fa26b920b
2025-12-13,12/13,Girls Basketball,girls-basketball,varsity,Varsity,12:00 PM,Home,vs,UNITED WAY CLASSIC,,UNITED WAY CLASSIC,Poland Seminary High School,false,false,2025-12-13_girls-basketball,2025-12-13_girls-basketball.jpg,91c2f5a4-4316-4a18-9368-e76d7c4abb50
2025-12-15,12/15,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2025-12-15_girls-basketball,2025-12-15_girls-basketball.jpg,3742dcf3-1a43-4213-b584-bbe9b27861dc
2025-12-18,12/18,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2025-12-18_girls-basketball,2025-12-18_girls-basketball.jpg,635206a1-fc8e-4430-a557-d7217b5940ca
2025-12-20,12/20,Girls Basketball,girls-basketball,varsity,Varsity,12:30 PM,Away,@,LaBrae,Vikings,LaBrae Vikings,Labrae High School,false,false,2025-12-20_girls-basketball,2025-12-20_girls-basketball.jpg,d04248af-67ca-4797-bd85-22970b6a6f06
2025-12-22,12/22,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,false,false,2025-12-22_girls-basketball,2025-12-22_girls-basketball.jpg,d7af018f-411a-45bf-af5e-13a2c405d60c
2025-12-29,12/29,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,false,false,2025-12-29_girls-basketball,2025-12-29_girls-basketball.jpg,7bedf880-1f24-4e4c-abe8-a426e93f066b
2026-01-03,01/03,Girls Basketball,girls-basketball,varsity,Varsity,12:15 PM,Home,vs,Brookfield,Warriors,Brookfield Warriors,Poland Seminary High School,true,false,2026-01-03_girls-basketball,2026-01-03_girls-basketball.jpg,69f4ae03-82de-4cb4-afa2-6590e0067714
2026-01-05,01/05,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,false,false,2026-01-05_girls-basketball,2026-01-05_girls-basketball.jpg,aee081e5-f72d-47a8-8718-6ac66ac1df4e
2026-01-08,01/08,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,false,false,2026-01-08_girls-basketball,2026-01-08_girls-basketball.jpg,62823408-0a66-41e4-9013-526b85063f50
2026-01-15,01/15,Girls Basketball,girls-basketball,varsity,Varsity,06:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2026-01-15_girls-basketball,2026-01-15_girls-basketball.jpg,9acdfdd0-267c-4b1c-a2d9-63ec7b65f4e8
2026-01-17,01/17,Girls Basketball,girls-basketball,varsity,Varsity,01:00 PM,Away,@,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Cardinal Mooney High School,false,false,2026-01-17_girls-basketball,2026-01-17_girls-basketball.jpg,3c7ce7e9-6ef3-4450-8750-484ec26ef686
2026-01-22,01/22,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2026-01-22_girls-basketball,2026-01-22_girls-basketball.jpg,3426e7a5-a034-4066-831e-f22f1b3d8e4e
2026-01-29,01/29,Girls Basketball,girls-basketball,varsity,Varsity,06:15 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2026-01-29_girls-basketball,2026-01-29_girls-basketball.jpg,9badb213-fcdf-4eb5-8518-b04ea9c74715
2026-01-31,01/31,Girls Basketball,girls-basketball,varsity,Varsity,01:30 PM,Away,@,Springfield,Tigers,Springfield Tigers,Springfield High School,false,false,2026-01-31_girls-basketball,2026-01-31_girls-basketball.jpg,9c007c59-137f-4926-958e-5a62b844ab53
2026-02-02,02/02,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,false,false,2026-02-02_girls-basketball,2026-02-02_girls-basketball.jpg,4a0d64ac-c45e-4c8e-b44d-a52ea212cdd2
2026-02-05,02/05,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2026-02-05_girls-basketball,2026-02-05_girls-basketball.jpg,24fbca1f-1dbd-4aba-ad67-5e49f5048776
2026-02-07,02/07,Girls Basketball,girls-basketball,varsity,Varsity,12:30 PM,Home,vs,Marlington,Dukes,Marlington Dukes,Poland Seminary High School,false,false,2026-02-07_girls-basketball,2026-02-07_girls-basketball.jpg,61ea84dc-1f6d-474a-b74a-7adad264fa03
2026-02-09,02/09,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2026-02-09_girls-basketball,2026-02-09_girls-basketball.jpg,1fc9c929-b787-4009-8a91-4573a52c9277
2026-02-11,02/11,Girls Basketball,girls-basketball,varsity,Varsity,05:30 PM,Home,vs,Girls Basketball Banquet,,Girls Basketball Banquet,Poland Seminary High School,false,false,2026-02-11_girls-basketball,2026-02-11_girls-basketball.jpg,7e18081a-6c75-426e-8bf0-18b172c8d99b
2026-02-14,02/14,Girls Basketball,girls-basketball,varsity,Varsity,12:30 PM,Away,@,Pymatuning Valley,Lakers,Pymatuning Valley Lakers,Pymatuning Valley High School,false,false,2026-02-14_girls-basketball,2026-02-14_girls-basketball.jpg,a405958a-a20b-459e-819f-177bf0f14ed3
2026-02-19,02/19,Girls Basketball,girls-basketball,varsity,Varsity,02:30 PM,Home,vs,Practice: Basketball (Girls V) Practice,,Practice: Basketball (Girls V) Practice,Poland Seminary High School,false,false,2026-02-19_girls-basketball,2026-02-19_girls-basketball.jpg,33ae9625-a37c-4b53-812d-b0e53558a9b8
2026-02-21,02/21,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Sectional Finals,,Sectional Finals,Poland Seminary High School,false,false,2026-02-21_girls-basketball,2026-02-21_girls-basketball.jpg,b4a22ce7-b16b-4fed-82a2-4027aa3556ca
2026-02-24,02/24,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,District Semi Final Game,,District Semi Final Game,Berkshire High School,false,false,2026-02-24_girls-basketball,2026-02-24_girls-basketball.jpg,51e38acc-61f9-4c18-9155-87a879844864
2026-02-28,02/28,Girls Basketball,girls-basketball,varsity,Varsity,04:00 PM,Away,@,District Championship,,District Championship,Woodridge High School,false,false,2026-02-28_girls-basketball,2026-02-28_girls-basketball.jpg,a188897d-abdf-4c1d-b914-a6001199e75d
2026-11-23,11/23,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,LaBrae,Vikings,LaBrae Vikings,Poland Seminary High School,false,false,2026-11-23_girls-basketball,2026-11-23_girls-basketball.jpg,51aa2427-6f81-42d2-8f03-e91dd5a907fb
2026-11-30,11/30,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,false,false,2026-11-30_girls-basketball,2026-11-30_girls-basketball.jpg,6fa26f47-51d2-4bd0-bc15-c3a0c82ec1d8
2026-12-03,12/03,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,false,false,2026-12-03_girls-basketball,2026-12-03_girls-basketball.jpg,f6ddb21c-0a90-43e5-bb59-a30353720fa0
2026-12-05,12/05,Girls Basketball,girls-basketball,varsity,Varsity,01:30 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,false,false,2026-12-05_girls-basketball,2026-12-05_girls-basketball.jpg,c39e2101-92ee-473b-84f6-5a525b33e44f
2026-12-07,12/07,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2026-12-07_girls-basketball,2026-12-07_girls-basketball.jpg,3a95eaf1-6d36-45b7-8f60-0924442e80c3
2026-12-10,12/10,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2026-12-10_girls-basketball,2026-12-10_girls-basketball.jpg,83aa68f8-569b-4fce-9369-60b619e0c8bf
2026-12-12,12/12,Girls Basketball,girls-basketball,varsity,Varsity,12:00 PM,Home,vs,UNITED WAY CLASSIC,,UNITED WAY CLASSIC,Poland Seminary High School,false,false,2026-12-12_girls-basketball,2026-12-12_girls-basketball.jpg,89bda499-3d21-40c8-bf60-72114eee0686
2026-12-14,12/14,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,false,false,2026-12-14_girls-basketball,2026-12-14_girls-basketball.jpg,147cda16-7b8f-4a2d-b5a6-0e4798973aa1
2026-12-17,12/17,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,false,false,2026-12-17_girls-basketball,2026-12-17_girls-basketball.jpg,55a0789e-bc2c-415a-abcf-8f27330bdd25
2026-12-21,12/21,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Crestview,Rebels,Crestview Rebels,Crestview High School (Columbiana),false,false,2026-12-21_girls-basketball,2026-12-21_girls-basketball.jpg,e016f556-7505-4171-89ab-54fff4a5ebbe
2026-12-28,12/28,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Springfield,Tigers,Springfield Tigers,Poland Seminary High School,false,false,2026-12-28_girls-basketball,2026-12-28_girls-basketball.jpg,548adffd-f18d-4699-904e-3c36971825a5
2027-01-04,01/04,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2027-01-04_girls-basketball,2027-01-04_girls-basketball.jpg,e4441607-3427-4213-becb-bdd456e1f0d9
2027-01-07,01/07,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2027-01-07_girls-basketball,2027-01-07_girls-basketball.jpg,77f15d21-8f75-42b0-a0fa-5ed42cfe9710
2027-01-11,01/11,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,false,false,2027-01-11_girls-basketball,2027-01-11_girls-basketball.jpg,2ef49fc1-2dae-45bb-bf27-2b840651f697
2027-01-14,01/14,Girls Basketball,girls-basketball,varsity,Varsity,07:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2027-01-14_girls-basketball,2027-01-14_girls-basketball.jpg,0ba54c4d-0b99-4d14-9bfd-2f0260bc3d67
2027-01-16,01/16,Girls Basketball,girls-basketball,varsity,Varsity,01:30 PM,Away,@,James A Garfield High School,,James A Garfield High School,James A Garfield High School,false,false,2027-01-16_girls-basketball,2027-01-16_girls-basketball.jpg,526d6f22-80dd-4efc-9c26-3576732886be
