eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2026-03-28,03/28,2026,Baseball,baseball,jv,JV,12:00 PM,Away,@,Carrollton,Warriors,Carrollton Warriors,Carrollton High School,Game,true,false,false,false,,,,2026-03-28_jv_baseball,2026-03-28_jv_baseball.jpg,c4743e81-2d46-463c-80b7-c5c53ca5ab6e
2026-03-30,03/30,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2026-03-30_jv_baseball,2026-03-30_jv_baseball.jpg,0a8e8ebf-1f76-48a1-b134-ea09c7d633ad
2026-03-31,03/31,2026,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Austintown Fitch,Falcons,Austintown Fitch Falcons,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-31_jv_baseball,2026-03-31_jv_baseball.jpg,c29510b3-f12f-48ef-b624-f47c7d608dd9
2026-04-13,04/13,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,,,,2026-04-13_jv_baseball,2026-04-13_jv_baseball.jpg,aca37274-9d6b-40fe-a2a1-97b91852510f
2026-04-15,04/15,2026,Baseball,baseball,jv,JV,05:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,,,,2026-04-15_jv_baseball,2026-04-15_jv_baseball.jpg,03a43feb-4ba1-451a-98da-80e32fbfa072
2026-04-17,04/17,2026,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Springfield,Tigers,Springfield Tigers,Poland Seminary High School,Game,false,false,false,false,,,,2026-04-17_jv_baseball,2026-04-17_jv_baseball.jpg,e1c51ba7-5b93-436d-a379-fda030487a57
2026-04-18,04/18,2026,Baseball,baseball,jv,JV,11:00 AM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,Game,false,false,false,true,,,,2026-04-18_jv_baseball,2026-04-18_jv_baseball.jpg,18ae80b9-a810-4b6d-9083-4122ad1081a9
2026-04-21,04/21,2026,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,,,,2026-04-21_jv_baseball,2026-04-21_jv_baseball.jpg,8c171fc3-1290-4036-a68c-d6dad252f67c
2026-04-24,04/24,2026,Baseball,baseball,jv,JV,05:30 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,,,,2026-04-24_jv_baseball,2026-04-24_jv_baseball.jpg,4c76dfae-b377-4627-9275-d6c814017833
2026-04-25,04/25,2026,Baseball,baseball,jv,JV,12:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2026-04-25_jv_baseball,2026-04-25_jv_baseball.jpg,514a7dc8-f1b1-46b4-adf1-b3043aeee0b0
2026-04-27,04/27,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,,,,2026-04-27_jv_baseball,2026-04-27_jv_baseball.jpg,fc415301-4d0a-44ee-b277-f527ab1c6d58
2026-04-28,04/28,2026,Baseball,baseball,jv,JV,05:00 AM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,,,,2026-04-28_jv_baseball,2026-04-28_jv_baseball.jpg,f8ca1592-fd86-40d6-8222-ece7e142d596
2026-04-30,04/30,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,,,,2026-04-30_jv_baseball,2026-04-30_jv_baseball.jpg,b5d2bf08-cec5-4260-8bdc-660cafbdb8ec
2026-05-04,05/04,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,Game,false,false,false,false,,,,2026-05-04_jv_baseball,2026-05-04_jv_baseball.jpg,b1699191-47f5-46e0-bdea-9b51ab5b175e
2026-05-07,05/07,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,Columbiana,Clippers,Columbiana Clippers,Columbiana High School,Game,true,false,false,false,,,,2026-05-07_jv_baseball,2026-05-07_jv_baseball.jpg,da1299db-89cf-408e-9488-9fe4fb378a84
2026-05-08,05/08,2026,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Austintown Fitch,Falcons,Austintown Fitch Falcons,Poland Seminary High School,Game,false,false,false,false,,,,2026-05-08_jv_baseball,2026-05-08_jv_baseball.jpg,325fa910-f908-43ba-b3a6-6c7ab0649725
2026-05-11,05/11,2026,Baseball,baseball,jv,JV,05:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,,,,2026-05-11_jv_baseball,2026-05-11_jv_baseball.jpg,ba0604e3-1e89-49c3-862c-2c50c3a8b863
2026-05-12,05/12,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,,,,2026-05-12_jv_baseball,2026-05-12_jv_baseball.jpg,201eea0c-8f81-4dbd-986a-92e739b71a63
2026-05-14,05/14,2026,Baseball,baseball,jv,JV,05:00 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,,,,2026-05-14_jv_baseball,2026-05-14_jv_baseball.jpg,4fc0efe9-9814-4df5-b67f-7968f0f56f1c
2026-05-15,05/15,2026,Baseball,baseball,jv,JV,05:15 PM,Home,vs,Carrollton,Warriors,Carrollton Warriors,Poland Seminary High School,Game,false,false,false,false,,,,2026-05-15_jv_baseball,2026-05-15_jv_baseball.jpg,75f73a18-da64-4719-954c-a11e1884c84e
