eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-12-09,12/09,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,false,false,2025-12-09_jv_boys-basketball,2025-12-09_jv_boys-basketball.jpg,31418c7f-ba75-4034-bc8f-1879cbe271a8
2025-12-12,12/12,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2025-12-12_jv_boys-basketball,2025-12-12_jv_boys-basketball.jpg,f6e7960f-cc53-478c-a343-f7bce8e4057c
2025-12-16,12/16,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2025-12-16_jv_boys-basketball,2025-12-16_jv_boys-basketball.jpg,2440da86-410f-408e-a1a6-be10e6cd15c5
2025-12-19,12/19,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2025-12-19_jv_boys-basketball,2025-12-19_jv_boys-basketball.jpg,0ff92e50-5e21-4b68-b24e-779f93910f11
2025-12-23,12/23,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,false,false,2025-12-23_jv_boys-basketball,2025-12-23_jv_boys-basketball.jpg,ef66c547-7af0-49d0-bb3d-268741a5af9b
2025-12-30,12/30,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,false,false,2025-12-30_jv_boys-basketball,2025-12-30_jv_boys-basketball.jpg,b8c372ed-f6a9-4da3-8b8b-1fb1fc17b078
2026-01-06,01/06,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,false,false,2026-01-06_jv_boys-basketball,2026-01-06_jv_boys-basketball.jpg,e9ecd579-65b2-484b-aea2-be7f9d51a0b8
2026-01-09,01/09,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2026-01-09_jv_boys-basketball,2026-01-09_jv_boys-basketball.jpg,3e6a5a2b-ef9d-422c-8e99-5eb46c6f2dfa
2026-01-13,01/13,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Youngstown East,Golden Bears,Youngstown East Golden Bears,Poland Seminary High School,false,false,2026-01-13_jv_boys-basketball,2026-01-13_jv_boys-basketball.jpg,b911aaf0-7578-426a-b0ce-7a16f490a361
2026-01-16,01/16,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,false,false,2026-01-16_jv_boys-basketball,2026-01-16_jv_boys-basketball.jpg,fe38fd0a-e432-4996-b656-e73060975057
