eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2026-08-06,08/06,2026,Boys Soccer,boys-soccer,jv,JV,05:00 PM,Home,vs,Louisville,Leopards,Louisville Leopards,Poland Seminary High School,Game,false,false,false,false,,,,2026-08-06_jv_boys-soccer,2026-08-06_jv_boys-soccer.jpg,11d6bb13-9975-4271-b740-15789a03a297
2026-08-08,08/08,2026,Boys Soccer,boys-soccer,jv,JV,09:00 AM,Away,@,Howland,Tigers,Howland Tigers,Howland High School,Game,false,false,false,false,,,,2026-08-08_jv_boys-soccer,2026-08-08_jv_boys-soccer.jpg,f2f078c5-f35f-41a3-9594-2a7acf58e6b3
2026-08-12,08/12,2026,Boys Soccer,boys-soccer,jv,JV,05:00 PM,Away,@,Chagrin Falls,Tigers,Chagrin Falls Tigers,Chagrin Falls High School,Game,false,false,false,false,,,,2026-08-12_jv_boys-soccer,2026-08-12_jv_boys-soccer.jpg,a1b33971-d4f7-4b31-b0c2-aa274c8b95b7
2026-08-15,08/15,2026,Boys Soccer,boys-soccer,jv,JV,11:00 AM,Away,@,Marlington,Dukes,Marlington Dukes,Marlington High School,Game,false,false,false,false,,,,2026-08-15_jv_boys-soccer,2026-08-15_jv_boys-soccer.jpg,22e7a6b7-1711-47b1-81e9-0d137de12fea
2026-08-17,08/17,2026,Girls Soccer,girls-soccer,jv,JV,05:00 PM,Away,@,Howland,Tigers,Howland Tigers,Howland High School,Game,false,false,false,false,,,,2026-08-17_jv_girls-soccer,2026-08-17_jv_girls-soccer.jpg,80ed15e4-1517-4e08-a17e-e2ed4d18bb15
2026-08-18,08/18,2026,Boys Soccer,boys-soccer,jv,JV,05:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2026-08-18_jv_boys-soccer,2026-08-18_jv_boys-soccer.jpg,71202167-5110-4f26-8b65-ad4281abb650
2026-08-22,08/22,2026,Football,football,jv,JV,10:00 AM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,Game,false,false,false,true,,,,2026-08-22_jv_football,2026-08-22_jv_football.jpg,0b7b6a15-d769-48ef-a8ee-b148d7ada4a6
2026-08-22,08/22,2026,Girls Soccer,girls-soccer,jv,JV,03:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2026-08-22_jv_girls-soccer,2026-08-22_jv_girls-soccer.jpg,97b26edd-f3b0-4a4e-9dee-ad29d173038f
2026-08-24,08/24,2026,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Campbell,Red Devils,Campbell Red Devils,Poland Seminary High School,Game,false,false,false,false,,,,2026-08-24_jv_volleyball,2026-08-24_jv_volleyball.jpg,6bb76fde-1715-4f8a-b507-758990432559
2026-08-25,08/25,2026,Volleyball,volleyball,jv,JV,05:30 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,,,,2026-08-25_jv_volleyball,2026-08-25_jv_volleyball.jpg,06b2a440-3c01-434d-9add-bfcaec605434
2026-08-27,08/27,2026,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,,,,2026-08-27_jv_volleyball,2026-08-27_jv_volleyball.jpg,117627f3-5fa6-4ae8-8669-daba52be6792
2026-08-29,08/29,2026,Football,football,jv,JV,10:00 AM,Away,@,Kirtland,Hornets,Kirtland Hornets,Kirtland High School,Game,false,false,false,false,,,,2026-08-29_jv_football,2026-08-29_jv_football.jpg,db9b63a4-2197-4f78-919c-3d6b2f5ab17f
2026-08-31,08/31,2026,Volleyball,volleyball,jv,JV,05:30 PM,Away,@,Howland,Tigers,Howland Tigers,Howland High School,Game,false,false,false,false,,,,2026-08-31_jv_volleyball,2026-08-31_jv_volleyball.jpg,e8e00dd8-4001-4901-9fdb-2c4afb91caf0
2026-09-01,09/01,2026,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,,,,2026-09-01_jv_volleyball,2026-09-01_jv_volleyball.jpg,99cd50fe-7612-4ad0-8229-05f9fdef61e7
2026-09-02,09/02,2026,Girls Soccer,girls-soccer,jv,JV,05:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,,,,2026-09-02_jv_girls-soccer,2026-09-02_jv_girls-soccer.jpg,c0f748c7-2956-4e02-a86e-c118e4d8ac36
