eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-08-15,08/15,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,06:30 PM,Home,vs,Senior Night and Family Picnic,,Senior Night and Family Picnic,Poland Seminary High School,Game,false,false,false,false,,,,2025-08-15_ms_cross-country,2025-08-15_ms_cross-country.jpg,b6cfd1ff-b3e5-405c-88b3-03fa6a172887
2025-08-23,08/23,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,10:00 AM,Away,'@,Billy Goat Invitational,,Billy Goat Invitational,Woodland Park,Game,false,false,false,false,,,,2025-08-23_ms_cross-country,2025-08-23_ms_cross-country.jpg,a57a2e96-8f9b-4408-a73b-8f05a34011c7
2025-08-26,08/26,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,05:50 PM,Away,'@,East Palestine,Bulldogs,East Palestine Bulldogs,East Palestine High School,Game,false,false,false,false,,,,2025-08-26_ms_cross-country,2025-08-26_ms_cross-country.jpg,14ac486f-312f-4ad0-bb05-36f315cf8eab
2025-09-02,09/02,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,05:50 PM,Home,vs,OPEN,,OPEN,Poland Seminary High School,Game,false,false,false,false,,,,2025-09-02_ms_cross-country,2025-09-02_ms_cross-country.jpg,037118cd-8c8e-4113-95f1-092e48533c58
2025-09-09,09/09,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,05:50 PM,Away,'@,OPEN,,OPEN,Stevens Park,Game,false,false,false,false,,,,2025-09-09_ms_cross-country,2025-09-09_ms_cross-country.jpg,e1f0feb7-f17d-408f-a8e6-a9244caf0edd
2025-09-13,09/13,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,09:00 AM,Away,'@,Boardman Spartan Invitational,,Boardman Spartan Invitational,Boardman High School,Game,false,false,false,false,,,,2025-09-13_ms_cross-country,2025-09-13_ms_cross-country.jpg,c59f3126-96ad-41f2-9303-009d8ba3b7f3
2025-09-16,09/16,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,05:50 PM,Away,'@,Suburban Championship,,Suburban Championship,Canfield Fairgrounds,Game,false,false,false,false,,,,2025-09-16_ms_cross-country,2025-09-16_ms_cross-country.jpg,9bc138a7-191b-4425-98c9-73468c16025c
2025-09-24,09/24,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,05:50 PM,Away,'@,Mahoning County Meet,,Mahoning County Meet,Austintown Township Park,Game,false,false,false,false,,,,2025-09-24_ms_cross-country,2025-09-24_ms_cross-country.jpg,dc0ab054-aac2-4b27-b209-b321e5740bea
2025-10-04,10/04,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,09:30 AM,Away,'@,Legends Invite,,Legends Invite,Trumbull County Fairgrounds,Game,false,false,false,false,,,,2025-10-04_ms_cross-country,2025-10-04_ms_cross-country.jpg,f9034ef1-6de0-4fe7-87a9-cfc02e0d510e
2025-10-11,10/11,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,06:00 PM,Home,vs,Zombie Run,,Zombie Run,Poland Seminary High School,Game,false,false,false,false,,,,2025-10-11_ms_cross-country,2025-10-11_ms_cross-country.jpg,f0f659ef-36fb-4894-b5ac-eae5634295e8
2025-10-11,10/11,2025,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,TBA,Away,'@,NE8 Championship,,NE8 Championship,TBD,Game,false,false,true,false,,,,2025-10-11_ms_cross-country-1,2025-10-11_ms_cross-country-1.jpg,47dbde06-a484-40a0-9dff-3d715305aa7d
