eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-11-29,11/29,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,11:00 AM,Away,'@,OPEN,,OPEN,Youngstown YMCA,Game,false,false,false,false,,,,2025-11-29_swim-dive,2025-11-29_swim-dive.jpg,5b45b7c0-613e-48ce-92e6-a8c730303a57
2025-12-06,12/06,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,12:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,,,,2025-12-06_swim-dive,2025-12-06_swim-dive.jpg,cb54297c-d00c-4cf7-b872-23590f20d8c4
2025-12-12,12/12,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,06:00 PM,Away,'@,Salem,Quakers,Salem Quakers,Salem High School,Game,false,false,false,true,,,,2025-12-12_swim-dive,2025-12-12_swim-dive.jpg,bc98d35c-a7d4-402f-841b-859d66704574
2025-12-17,12/17,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,05:00 PM,Home,vs,Ursuline,Fighting Irish,Ursuline Fighting Irish,Poland Seminary High School,Game,false,false,false,false,,,,2025-12-17_swim-dive,2025-12-17_swim-dive.jpg,43a735d6-3dd3-4fa5-84cd-6d7fa3e08189
2025-12-20,12/20,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,08:00 AM,Away,'@,Canton Christmas Invite,,Canton Christmas Invite,Canton McKinley High School,Game,false,false,false,false,,,,2025-12-20_swim-dive,2025-12-20_swim-dive.jpg,30fed2f4-3ad0-47de-8042-b5cde433e2a8
2025-12-22,12/22,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,05:00 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,Game,false,false,false,false,,,,2025-12-22_swim-dive,2025-12-22_swim-dive.jpg,be691942-d646-4b9e-bc52-f9e79c95b53d
2026-01-02,01/02,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,05:00 PM,Away,'@,Archbishop Hoban,Knights,Archbishop Hoban Knights,Archbishop Hoban High School,Game,false,false,false,false,,,,2026-01-02_swim-dive,2026-01-02_swim-dive.jpg,bb91f484-ca99-4a94-8ae9-904365083a66
2026-01-03,01/03,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,07:30 PM,Away,'@,NY Classic,,NY Classic,YSU,Game,false,false,false,false,,,,2026-01-03_swim-dive,2026-01-03_swim-dive.jpg,8b3b0a6d-c0b8-4b31-9b17-94be3836a3f0
2026-01-13,01/13,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,05:00 PM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,,,,2026-01-13_swim-dive,2026-01-13_swim-dive.jpg,0a6d994d-7fc3-4938-b908-d8a732c6a4eb
2026-01-17,01/17,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,10:00 AM,Away,'@,NE8 Championship Meet Diving,,NE8 Championship Meet Diving,Hubbard Community Pool,Game,false,false,false,false,,,,2026-01-17_swim-dive,2026-01-17_swim-dive.jpg,348cedba-c0ce-4816-8217-cfa2a0810db4
2026-01-24,01/24,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,10:00 AM,Away,'@,OPEN,,OPEN,Spire,Game,false,false,false,false,,,,2026-01-24_swim-dive,2026-01-24_swim-dive.jpg,b31e72e1-4088-4c36-b4c9-aaef7e90baee
2026-01-29,01/29,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,05:00 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,,,,2026-01-29_swim-dive,2026-01-29_swim-dive.jpg,bb361a4d-50a0-4cc1-b5eb-2106101397cd
2026-01-31,01/31,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,11:00 AM,Away,'@,Warren G. Harding,Raiders,Warren G. Harding Raiders,Warren G Harding High School,Game,false,false,false,false,,,,2026-01-31_swim-dive,2026-01-31_swim-dive.jpg,9c733a2f-4ea5-41cd-8a6c-9fe0da809e39
2026-02-13,02/13,2025-2026,Swim & Dive,swim-dive,varsity,Varsity,TBA,Away,'@,Div II Sectional Meet,,Div II Sectional Meet,University of Akron,Game,false,false,true,false,,,,2026-02-13_swim-dive,2026-02-13_swim-dive.jpg,44cb2ac7-a2ef-46ac-8ae0-4502d99f0245
