eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2026-08-29,08/29,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,09:00 AM,Away,'@,Salem Early Bird Invite,,Salem Early Bird Invite,Waterworth Memorial Park,Game,false,false,false,false,2026-08-29_ms_cross-country,2026-08-29_ms_cross-country.jpg,c034a9f7-2a51-4096-8bb1-5698a2d3e892
2026-09-01,09/01,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,05:50 PM,Away,'@,McDonald High School,,McDonald High School,Woodland Park,Game,false,false,false,false,2026-09-01_ms_cross-country,2026-09-01_ms_cross-country.jpg,27daaa83-5177-4a65-94a0-b58b83c9b7e4
2026-09-08,09/08,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,05:50 PM,Home,vs,Poland Township Park,,Poland Township Park,Poland Township Park,Game,false,false,false,false,2026-09-08_ms_cross-country,2026-09-08_ms_cross-country.jpg,53c49dc3-1804-43cc-a593-cee94c7910c1
2026-09-12,09/12,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,10:00 AM,Away,'@,Streetsboro Invitational,,Streetsboro Invitational,Streetsboro Middle School,Game,false,false,false,false,2026-09-12_ms_cross-country,2026-09-12_ms_cross-country.jpg,a9427588-4783-4273-8698-55ad1d5bfd89
2026-09-15,09/15,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,05:50 PM,Away,'@,Columbiana High School,,Columbiana High School,Columbiana High School,Game,false,false,false,false,2026-09-15_ms_cross-country,2026-09-15_ms_cross-country.jpg,09368d7b-2289-485b-9d4d-daa8bb9b0476
2026-09-19,09/19,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,09:00 AM,Away,'@,Spartan Invitational,,Spartan Invitational,Boardman High School,Game,false,false,false,false,2026-09-19_ms_cross-country,2026-09-19_ms_cross-country.jpg,851a3cf1-d84e-4fde-996a-9eda40a00477
2026-09-22,09/22,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,05:50 PM,Away,'@,Suburban Championships,,Suburban Championships,Canfield Fairgrounds,Game,false,false,false,false,2026-09-22_ms_cross-country,2026-09-22_ms_cross-country.jpg,b1849a84-67e9-4b93-8359-c24539f7ac26
2026-09-30,09/30,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,05:50 PM,Away,'@,Mahoning County Meet,,Mahoning County Meet,Austintown Township Park,Game,false,false,false,false,2026-09-30_ms_cross-country,2026-09-30_ms_cross-country.jpg,1c0471ca-4748-468d-8f38-472f354b8bab
2026-10-03,10/03,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,06:00 PM,Home,vs,Zombie Run,,Zombie Run,Poland Township Park,Game,false,false,false,false,2026-10-03_ms_cross-country,2026-10-03_ms_cross-country.jpg,a3b00fec-9064-4a6e-bc29-f8fd24279df6
2026-10-10,10/10,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,09:30 AM,Away,'@,Legends Invite,,Legends Invite,Trumbull County Fairgrounds,Game,false,false,false,false,2026-10-10_ms_cross-country,2026-10-10_ms_cross-country.jpg,e790e0cd-0278-4cff-9a7f-a5fc54a5589b
2026-10-17,10/17,2026,Fall,Cross Country,cross-country,Co-ed,ms,Middle School,cross-country-junior-high,11:30 AM,Home,vs,Northeast 8 Cross Country Championship,,Northeast 8 Cross Country Championship,Poland Township Park,Game,false,false,false,false,2026-10-17_ms_cross-country,2026-10-17_ms_cross-country.jpg,e1bfa6ed-61d3-4a97-a85e-151cf3e08d11
