eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,teamScore,opponentScore,result,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-09-04,09/04,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,04:00 PM,Away,@,Girard,Indians,Girard Indians,Mahoning CC,Game,,,,false,false,false,true,2025-09-04_boys-golf,2025-09-04_boys-golf.jpg,7c060add-60b2-4c4b-b307-f3a2dfd08fcc
2025-09-07,09/07,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,01:00 PM,Away,@,Kiely Cup,,Kiely Cup,Canterbury Golf Club Inc,Game,,,,false,false,false,false,2025-09-07_boys-golf,2025-09-07_boys-golf.jpg,2ca94f32-4504-41cf-b6c3-0d5fd58a8f6d
2025-09-08,09/08,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,09:00 AM,Away,@,Kiely Cup,,Kiely Cup,Canterbury Golf Club Inc,Game,,,,false,false,false,false,2025-09-08_boys-golf,2025-09-08_boys-golf.jpg,1466170c-92c7-41c0-b383-b5ad13874340
2025-09-15,09/15,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,05:30 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Knoll Run,Game,,,,true,false,false,true,2025-09-15_boys-golf,2025-09-15_boys-golf.jpg,5c401b5a-36c2-4684-bd9e-ea14eddea0b2
2025-09-16,09/16,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,03:00 PM,Away,@,Springfield,Tigers,Springfield Tigers,Bedford Trails Golf Course,Game,,,,false,false,false,false,2025-09-16_boys-golf,2025-09-16_boys-golf.jpg,384c7888-de6b-43da-b251-627f9564bff8
2025-09-17,09/17,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,04:30 PM,Away,@,John F. Kennedy,Fighting Eagles,John F. Kennedy Fighting Eagles,Trumbull CC,Game,,,,false,false,false,false,2025-09-17_boys-golf,2025-09-17_boys-golf.jpg,e8351d02-fa2a-4712-aaa5-e4b3c4b0421b
2025-09-22,09/22,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,TBA,Away,@,Sectionals,,Sectionals,Windmill Lakes,Game,,,,false,false,true,false,2025-09-22_boys-golf,2025-09-22_boys-golf.jpg,ce517773-b1a2-47c7-b4fb-e3296fe9e9bf
2025-09-30,09/30,2025,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Away,@,Districts,,Districts,Windmill Lakes,Game,,,,false,false,false,false,2025-09-30_boys-golf,2025-09-30_boys-golf.jpg,21aed022-371d-4e7b-86e6-fb14de815c48
2026-08-03,08/03,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Home,vs,Girard,Indians,Girard Indians,Knoll Run,Game,155,188,Win,false,false,false,true,2026-08-03_boys-golf,2026-08-03_boys-golf.jpg,8c0b0314-0081-410f-bcad-2b6ed02ea366
2026-08-04,08/04,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,09:00 AM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Links Golf Course,Game,168,159,Loss,false,false,false,true,2026-08-04_boys-golf,2026-08-04_boys-golf.jpg,51397ffc-d9c7-4b7f-b935-7248250b0077
2026-08-05,08/05,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:30 AM,Away,@,Brookfield Invitational,,Brookfield Invitational,Yankee Run,Game,318,,Second,false,false,false,false,2026-08-05_boys-golf,2026-08-05_boys-golf.jpg,72f101df-9ddf-4ac9-b251-b1d884287168
2026-08-06,08/06,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Away,@,Yank Heisler Invitational,,Yank Heisler Invitational,Windmill Lakes,Game,287,,First,false,false,false,false,2026-08-06_boys-golf,2026-08-06_boys-golf.jpg,5635c68f-ecef-4431-8c2b-8831dddd0e5d
2026-08-07,08/07,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,12:10 PM,Away,@,Joe Eaton Golf Invitational,,Joe Eaton Golf Invitational,Tannenhauf Golf Course,Game,303,,First,false,false,false,false,2026-08-07_boys-golf,2026-08-07_boys-golf.jpg,b110f827-872a-4f65-976b-76aaf6cc870f
2026-08-10,08/10,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Home,vs,Columbiana,Clippers,Columbiana Clippers,Knoll Run,Game,,,,false,false,false,false,2026-08-10_boys-golf,2026-08-10_boys-golf.jpg,d94f2422-4e39-4c4a-815f-47820e4c7126
2026-08-11,08/11,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:15 AM,Away,@,NE Ohio Invitational,,NE Ohio Invitational,JE Good Park,Game,303,,First,false,false,false,false,2026-08-11_boys-golf,2026-08-11_boys-golf.jpg,3e5623b2-3dbe-4126-980b-284a43ae9b89
2026-08-13,08/13,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Knoll Run,Game,154,157,Win,false,false,false,false,2026-08-13_boys-golf,2026-08-13_boys-golf.jpg,bb607043-4a39-4194-8d2a-f05b9ea27158
2026-08-14,08/14,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,11:00 AM,Away,@,Shenango,Wildcats,Shenango Wildcats,Shenango High School,Game,189,218,Win,false,false,false,false,2026-08-14_boys-golf,2026-08-14_boys-golf.jpg,df1cfd6e-0a74-4a6c-839c-577d4d7a3e92
2026-08-17,08/17,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,01:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Pine Lakes,Game,149,180,Win,false,false,false,true,2026-08-17_boys-golf,2026-08-17_boys-golf.jpg,bafe1fed-3cd9-437a-a753-16b84949e56a
2026-08-18,08/18,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Knoll Run,Game,147,188,Win,false,false,false,true,2026-08-18_boys-golf,2026-08-18_boys-golf.jpg,f6bd18ee-5427-4ac3-a7c1-028c74605d43
2026-08-20,08/20,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Home,vs,South Range,Raiders,South Range Raiders,Knoll Run,Game,,,,false,false,false,true,2026-08-20_boys-golf,2026-08-20_boys-golf.jpg,028c5c1c-96d6-417f-8ff7-6dcb4bb61ce4
2026-08-24,08/24,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Knoll Run,Game,147,177,Win,false,false,false,true,2026-08-24_boys-golf,2026-08-24_boys-golf.jpg,c49d48e6-26da-44ef-a760-1d979effc18e
2026-08-26,08/26,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,04:30 PM,Away,@,Girard,Indians,Girard Indians,Mahoning CC,Game,144,163,Win,false,false,false,true,2026-08-26_boys-golf,2026-08-26_boys-golf.jpg,0c8e69fe-6672-448b-b308-4775862116d7
2026-08-27,08/27,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,04:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Old Avalon,Game,179,184,Win,false,false,false,true,2026-08-27_boys-golf,2026-08-27_boys-golf.jpg,9583a6c3-ef90-4e15-a9ae-c054c6898c94
2026-08-30,08/30,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,05:00 PM,Home,vs,OPEN Senior Night,,OPEN Senior Night,Knoll Run,Game,,,,false,false,false,false,2026-08-30_boys-golf,2026-08-30_boys-golf.jpg,3a9a68eb-1aa4-455d-abe9-63cd15021a4f
2026-09-01,09/01,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,06:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Knoll Run,Game,173,191,Win,false,false,false,true,2026-09-01_boys-golf,2026-09-01_boys-golf.jpg,bd809743-dbc0-4a02-8a3d-9c9d3833491b
2026-09-03,09/03,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,03:15 PM,Away,@,Columbiana,Clippers,Columbiana Clippers,Valley Golf Course,Game,,,,false,false,false,false,2026-09-03_boys-golf,2026-09-03_boys-golf.jpg,0d94abb1-2623-4cd6-87dd-42d61466d3ad
2026-09-09,09/09,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,08:00 AM,Away,@,NorthEast 8 Championship,,NorthEast 8 Championship,Squaw Creek,Game,,,,false,false,false,false,2026-09-09_boys-golf,2026-09-09_boys-golf.jpg,dcedba44-638d-49dc-add3-0599e06c53a7
2026-09-13,09/13,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,01:00 PM,Away,@,Kiely Cup,,Kiely Cup,Canterbury Golf Club Inc,Game,,,,false,false,false,false,2026-09-13_boys-golf,2026-09-13_boys-golf.jpg,42abe1da-80fb-427e-9309-4f3fa32b1261
2026-09-14,09/14,2026,Fall,Boys Golf,boys-golf,Boys,varsity,Varsity,boys-golf-varsity,09:00 AM,Away,@,Kiely Cup,,Kiely Cup,Canterbury Golf Club Inc,Game,,,,false,false,false,false,2026-09-14_boys-golf,2026-09-14_boys-golf.jpg,2cf16f31-8a8f-4d3d-a3a4-5654386d5050
