eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-11-29,11/29,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,09:00 AM,Away,'@,Scrimmage,,Scrimmage,TBD,Scrimmage,false,false,false,false,2025-11-29_boys-wrestling,2025-11-29_boys-wrestling.jpg,535723bd-7bb8-4b80-a398-6a2b913aea0c
2025-12-06,12/06,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,10:00 AM,Home,vs,Poland Dog Duals,,Poland Dog Duals,Poland Seminary High School,Game,false,false,false,false,2025-12-06_boys-wrestling,2025-12-06_boys-wrestling.jpg,2f1bc455-d0a5-41dd-86b8-520b809f2c3c
2025-12-18,12/18,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,06:00 PM,Home,vs,Brookfield,Warriors,Brookfield Warriors,Poland Seminary High School,Game,false,false,false,false,2025-12-18_boys-wrestling,2025-12-18_boys-wrestling.jpg,be30ed0a-e71b-4d4a-b2a1-a87b385c19f0
2025-12-20,12/20,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,09:00 AM,Away,'@,Beaver Local,Beavers,Beaver Local Beavers,Beaver Local High School,Game,false,false,false,false,2025-12-20_boys-wrestling,2025-12-20_boys-wrestling.jpg,3cd7e4d2-6764-4118-9a74-2241e736f931
2026-01-03,01/03,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,09:00 AM,Away,'@,Jackson-Milton,Bluejays,Jackson-Milton Bluejays,Jackson-Milton High School,Game,false,false,false,false,2026-01-03_boys-wrestling,2026-01-03_boys-wrestling.jpg,70f914f2-6866-475d-8f36-11841b488290
2026-01-07,01/07,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,05:00 PM,Away,'@,NE8 Championship Meet,,NE8 Championship Meet,Girard Sr High School,Game,false,false,false,false,2026-01-07_boys-wrestling,2026-01-07_boys-wrestling.jpg,7b5d7c53-0e6b-45d6-8559-bd64388e0867
2026-01-14,01/14,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,07:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,false,false,false,true,2026-01-14_boys-wrestling,2026-01-14_boys-wrestling.jpg,22f0ca98-bdc4-41b8-8f58-59a2ca41799a
2026-01-17,01/17,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,09:00 AM,Away,'@,Berkshire,Badgers,Berkshire Badgers,Berkshire High School,Game,false,false,false,false,2026-01-17_boys-wrestling,2026-01-17_boys-wrestling.jpg,be4adf16-b4b5-49f9-9738-e2987931d297
2026-01-21,01/21,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,06:00 PM,Home,vs,Alliance,Aviators,Alliance Aviators,Poland Seminary High School,Game,false,false,false,false,2026-01-21_boys-wrestling,2026-01-21_boys-wrestling.jpg,8b4b605f-6722-4999-9fad-c299dbd7a350
2026-01-23,01/23,2025-2026,Winter,Boys Wrestling,boys-wrestling,Boys,varsity,Varsity,boys-wrestling-varsity,12:00 PM,Away,'@,Hepner Memorial Tournament,,Hepner Memorial Tournament,Austintown Fitch High School,Game,false,false,false,false,2026-01-23_boys-wrestling,2026-01-23_boys-wrestling.jpg,9909d444-211b-4047-b809-c1cad5b75d9c
