eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-12-03,12/03,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard MS,Game,false,false,false,true,2025-12-03_8th_girls-basketball,2025-12-03_8th_girls-basketball.jpg,e5af8a72-8451-4869-a2e6-22cc6c1ecea4
2025-12-10,12/10,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range Middle School,Game,false,false,false,true,2025-12-10_8th_girls-basketball,2025-12-10_8th_girls-basketball.jpg,594bebe4-839d-49bf-ba0f-662a578879bc
2025-12-15,12/15,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Home,vs,Girard Sr High School,,Girard Sr High School,Poland Seminary High School,Game,false,false,false,false,2025-12-15_8th_girls-basketball,2025-12-15_8th_girls-basketball.jpg,986590a4-4d85-400a-bbb5-8061ed93c817
2025-12-17,12/17,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,2025-12-17_8th_girls-basketball,2025-12-17_8th_girls-basketball.jpg,c62a0fb0-fb00-445b-8002-3d0b30084694
2026-01-07,01/07,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,05:00 PM,Away,'@,Struthers,Wildcats,Struthers Wildcats,STRUTHERS MIDDLE SCHOOL,Game,false,false,false,true,2026-01-07_8th_girls-basketball,2026-01-07_8th_girls-basketball.jpg,a6c9ff62-0953-4ba4-b4ea-7b4bd76dc3ae
2026-01-12,01/12,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,2026-01-12_8th_girls-basketball,2026-01-12_8th_girls-basketball.jpg,2db53762-c212-482c-9f01-ed02d43dff04
2026-01-14,01/14,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,2026-01-14_8th_girls-basketball,2026-01-14_8th_girls-basketball.jpg,396dc76c-0724-4514-897b-9b6823605942
2026-01-15,01/15,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Home,vs,Canfield High School,,Canfield High School,Poland Seminary High School,Game,false,false,false,false,2026-01-15_8th_girls-basketball,2026-01-15_8th_girls-basketball.jpg,3c6bd1ec-5fd0-46f3-aa4c-1d435fc3cf16
2026-01-21,01/21,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,2026-01-21_8th_girls-basketball,2026-01-21_8th_girls-basketball.jpg,1939d395-75ad-4a5b-94d2-c4956fd0d9cb
2026-01-26,01/26,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Away,'@,Girard Sr High School,,Girard Sr High School,Girard Sr High School,Game,true,false,false,false,2026-01-26_8th_girls-basketball,2026-01-26_8th_girls-basketball.jpg,18b463f6-4e3a-4f11-a51a-23c32b743dd7
2026-01-28,01/28,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles Middle School,Game,true,false,false,true,2026-01-28_8th_girls-basketball,2026-01-28_8th_girls-basketball.jpg,437290c7-b650-482b-8cb1-7bd836dc1687
2026-02-02,02/02,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,true,2026-02-02_8th_girls-basketball,2026-02-02_8th_girls-basketball.jpg,5185e4ff-40c6-4ef1-a16c-b6422f0ab7e3
2026-02-04,02/04,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,05:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,2026-02-04_8th_girls-basketball,2026-02-04_8th_girls-basketball.jpg,71581208-6dc6-4400-bf95-ba7c99c7e85c
2026-02-07,02/07,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,09:00 AM,Away,'@,NE8 Tournament,,NE8 Tournament,South Range Middle School,Game,false,false,false,false,2026-02-07_8th_girls-basketball,2026-02-07_8th_girls-basketball.jpg,f760bd6a-79fb-47f4-835b-4e379cf5c1b7
2026-02-09,02/09,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,05:00 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range Middle School,Game,false,false,false,true,2026-02-09_8th_girls-basketball,2026-02-09_8th_girls-basketball.jpg,0f381fda-265f-44a2-96d6-0abc8e252eba
2026-12-07,12/07,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range Middle School,Game,false,false,false,true,2026-12-07_8th_girls-basketball,2026-12-07_8th_girls-basketball.jpg,4e8a096a-30d8-467d-a393-6868606d0875
2026-12-09,12/09,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,8th,8th Grade,girls-basketball-8th-grade,06:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,2026-12-09_8th_girls-basketball,2026-12-09_8th_girls-basketball.jpg,4a316bfc-da58-4528-a98f-d475d632f5d2
