eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-12-01,12/01,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,Badger,Braves,Badger Braves,Poland Seminary High School,Game,false,false,false,false,2025-12-01_jv_girls-basketball,2025-12-01_jv_girls-basketball.jpg,a0a8d8df-80d8-437d-8a30-a2ae1e7e5872
2025-12-04,12/04,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,Game,false,false,false,false,2025-12-04_jv_girls-basketball,2025-12-04_jv_girls-basketball.jpg,5547bac9-d5fc-493f-9489-a4d0e0cbbaa3
2025-12-08,12/08,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,West Branch,Warriors,West Branch Warriors,Poland Seminary High School,Game,false,false,false,false,2025-12-08_jv_girls-basketball,2025-12-08_jv_girls-basketball.jpg,bfa42d3c-3d63-4113-8be2-5e29da9d4608
2025-12-15,12/15,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,2025-12-15_jv_girls-basketball,2025-12-15_jv_girls-basketball.jpg,44c968f1-88a1-4b2e-8b5b-614e8101f3d9
2025-12-18,12/18,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,2025-12-18_jv_girls-basketball,2025-12-18_jv_girls-basketball.jpg,263ff5d1-a339-4016-b837-6b02f6c4a7ae
2025-12-20,12/20,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,11:00 AM,Away,'@,LaBrae,Vikings,LaBrae Vikings,Labrae High School,Game,false,false,false,false,2025-12-20_jv_girls-basketball,2025-12-20_jv_girls-basketball.jpg,eb030ec6-9bb4-4d35-86f9-74d5342e4d6a
2025-12-22,12/22,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,2025-12-22_jv_girls-basketball,2025-12-22_jv_girls-basketball.jpg,86a6c1c6-4a80-4507-926c-691ddbc515a2
2025-12-29,12/29,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,Salem,Quakers,Salem Quakers,Salem High School,Game,false,false,false,true,2025-12-29_jv_girls-basketball,2025-12-29_jv_girls-basketball.jpg,5e79d444-e1cb-4fab-b186-ab6e2c3f1d40
2026-01-03,01/03,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,11:00 AM,Home,vs,Liberty,Leopards,Liberty Leopards,Poland Seminary High School,Game,true,false,false,false,2026-01-03_jv_girls-basketball,2026-01-03_jv_girls-basketball.jpg,73206efb-627e-4b7c-b0e0-11d55094d22e
2026-01-05,01/05,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,2026-01-05_jv_girls-basketball,2026-01-05_jv_girls-basketball.jpg,fd512023-f79d-4485-973a-ddad73db9810
2026-01-08,01/08,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,2026-01-08_jv_girls-basketball,2026-01-08_jv_girls-basketball.jpg,bf4ffe51-0caf-48d1-88cd-ac7908e37a26
2026-01-12,01/12,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,2026-01-12_jv_girls-basketball,2026-01-12_jv_girls-basketball.jpg,291c52cb-c4b5-456e-a356-2ef17107fd97
2026-01-17,01/17,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,12:00 PM,Away,'@,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Cardinal Mooney High School,Game,false,false,false,false,2026-01-17_jv_girls-basketball,2026-01-17_jv_girls-basketball.jpg,cb1b8ed7-f14f-4eb0-b525-f6a990cfe576
2026-01-22,01/22,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,2026-01-22_jv_girls-basketball,2026-01-22_jv_girls-basketball.jpg,cd6fc1e9-f74f-4b0a-9a5e-93a9dec61d28
2026-01-29,01/29,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,2026-01-29_jv_girls-basketball,2026-01-29_jv_girls-basketball.jpg,b4f754fb-0347-43e4-bbd1-c8c5f254904d
2026-01-31,01/31,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,12:00 PM,Away,'@,Springfield,Tigers,Springfield Tigers,Springfield High School,Game,false,false,false,false,2026-01-31_jv_girls-basketball,2026-01-31_jv_girls-basketball.jpg,160e74c3-87f8-4310-9143-c3da65059629
2026-02-02,02/02,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,2026-02-02_jv_girls-basketball,2026-02-02_jv_girls-basketball.jpg,1054c0e0-092a-4872-af87-16e107225273
2026-02-05,02/05,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,2026-02-05_jv_girls-basketball,2026-02-05_jv_girls-basketball.jpg,ecb7a368-5a36-4e19-a875-4fb2af796770
2026-02-09,02/09,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2026-02-09_jv_girls-basketball,2026-02-09_jv_girls-basketball.jpg,09be9d2c-32cf-4675-8d35-1bd800d9dd3d
2026-02-12,02/12,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Away,'@,Liberty,Leopards,Liberty Leopards,Liberty High School,Game,false,false,false,false,2026-02-12_jv_girls-basketball,2026-02-12_jv_girls-basketball.jpg,3931fee0-08f9-43cf-bb3f-2a937ebd8ad6
2026-02-14,02/14,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,11:00 AM,Away,'@,Pymatuning Valley,Lakers,Pymatuning Valley Lakers,Pymatuning Valley High School,Game,false,false,false,false,2026-02-14_jv_girls-basketball,2026-02-14_jv_girls-basketball.jpg,1932230d-fe95-4c5a-b4f6-c7fc789764b1
2026-11-23,11/23,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,jv,JV,girls-basketball-junior-varsity,05:30 PM,Home,vs,LaBrae,Vikings,LaBrae Vikings,Poland Seminary High School,Game,false,false,false,false,2026-11-23_jv_girls-basketball,2026-11-23_jv_girls-basketball.jpg,6fefc3b7-c79e-42cc-84f8-3b60ce4f6955
