eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2026-03-07,03/07,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,12:00 PM,Home,vs,Beaumont,Blue Streaks,Beaumont Blue Streaks,Poland Seminary High School,Game,false,false,false,false,2026-03-07_girls-lacrosse,2026-03-07_girls-lacrosse.jpg,b24f7d99-bae6-449c-abcb-1d1ed1910072
2026-03-19,03/19,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,05:30 PM,Home,vs,Media Day Pictures,,Media Day Pictures,Poland Seminary High School,Game,false,false,false,false,2026-03-19_girls-lacrosse,2026-03-19_girls-lacrosse.jpg,3fa97a8e-4f9f-4fcf-aa2c-a3517f5d3256
2026-03-25,03/25,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:30 PM,Away,'@,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Cardinal Mooney High School,Game,false,false,false,false,2026-03-25_girls-lacrosse,2026-03-25_girls-lacrosse.jpg,2d0dc83b-3839-493d-ae6f-974cfcb26967
2026-03-27,03/27,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Home,vs,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,Poland Seminary High School,Game,false,false,false,false,2026-03-27_girls-lacrosse,2026-03-27_girls-lacrosse.jpg,9496f8cf-86ce-4aaa-9b47-d78ad4508466
2026-03-30,03/30,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,2026-03-30_girls-lacrosse,2026-03-30_girls-lacrosse.jpg,3205e192-641f-40ea-92e5-785dcb40f452
2026-04-01,04/01,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Home,vs,Kent Roosevelt,Rough Riders,Kent Roosevelt Rough Riders,Poland Seminary High School,Game,false,false,false,false,2026-04-01_girls-lacrosse,2026-04-01_girls-lacrosse.jpg,bb2bcf63-e066-4237-999e-62e02e3d0dbf
2026-04-13,04/13,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,2026-04-13_girls-lacrosse,2026-04-13_girls-lacrosse.jpg,31124616-e0b8-41ed-b55d-fe68687fed16
2026-04-15,04/15,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Home,vs,Laurel,Gators,Laurel Gators,Poland Seminary High School,Game,false,false,false,false,2026-04-15_girls-lacrosse,2026-04-15_girls-lacrosse.jpg,b6c8d8bf-857d-4fc0-b6d2-8c69a073452c
2026-04-18,04/18,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,11:00 AM,Away,'@,Aurora,Green Men,Aurora Green Men,Aurora High School,Game,false,false,false,false,2026-04-18_girls-lacrosse,2026-04-18_girls-lacrosse.jpg,c74cbd9f-6599-47e2-8fc0-52643a26c539
2026-04-20,04/20,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,2026-04-20_girls-lacrosse,2026-04-20_girls-lacrosse.jpg,752451e6-7bbf-45a0-9a81-3220a71b0075
2026-04-23,04/23,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Away,'@,Southeast,Pirates,Southeast Pirates,Southeast High School,Game,false,false,false,false,2026-04-23_girls-lacrosse,2026-04-23_girls-lacrosse.jpg,621c1cc4-79ff-4bb3-8ad5-4883409d29dd
2026-04-27,04/27,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,2026-04-27_girls-lacrosse,2026-04-27_girls-lacrosse.jpg,2be79dc7-c430-4864-ac0b-7179679c1cfc
2026-04-29,04/29,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Home,vs,Green,Bulldogs,Green Bulldogs,Poland Seminary High School,Game,false,false,false,false,2026-04-29_girls-lacrosse,2026-04-29_girls-lacrosse.jpg,df071a78-d48b-443a-bebe-88347ca4f7ad
2026-05-04,05/04,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:00 PM,Home,vs,Archbishop Hoban,Knights,Archbishop Hoban Knights,Poland Seminary High School,Game,false,false,false,false,2026-05-04_girls-lacrosse,2026-05-04_girls-lacrosse.jpg,e5f8ee00-9a50-44db-a8b2-ffcda64541a7
2026-05-11,05/11,2026,Spring,Girls Lacrosse,girls-lacrosse,Girls,varsity,Varsity,girls-lacrosse-varsity,06:30 PM,Home,vs,Girls Lacrosse Banquet,,Girls Lacrosse Banquet,Poland Seminary High School,Game,false,false,false,false,2026-05-11_girls-lacrosse,2026-05-11_girls-lacrosse.jpg,5e6ca18f-10ed-4254-bdc1-ede18b034b28
