eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-08-04,08/04,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,06:00 PM,Away,'@,Warren G. Harding,Raiders,Warren G. Harding Raiders,Warren G Harding High School,Scrimmage,false,false,false,false,2025-08-04_jv_girls-soccer,2025-08-04_jv_girls-soccer.jpg,2bba539a-db97-4fbb-b529-84e47092446d
2025-08-06,08/06,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:30 PM,Home,vs,Austintown Fitch,Falcons,Austintown Fitch Falcons,Poland Seminary High School,Scrimmage,false,false,false,false,2025-08-06_jv_girls-soccer,2025-08-06_jv_girls-soccer.jpg,0ab0f051-a2e3-416c-af8d-0583fa013481
2025-08-13,08/13,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,06:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,false,false,false,true,2025-08-13_jv_girls-soccer,2025-08-13_jv_girls-soccer.jpg,0d4245a0-aff4-4b6a-b254-32b5c1328c50
2025-08-18,08/18,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,06:15 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,Game,false,false,false,false,2025-08-18_jv_girls-soccer,2025-08-18_jv_girls-soccer.jpg,83dae2c4-4a86-4743-9841-21614ab4dbd4
2025-09-03,09/03,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:00 PM,Away,'@,West Branch,Warriors,West Branch Warriors,West Branch High School,Game,false,false,false,false,2025-09-03_jv_girls-soccer,2025-09-03_jv_girls-soccer.jpg,7be83262-c89a-4649-9ec6-870f148eb11b
2025-09-10,09/10,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:30 PM,Away,'@,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,St. Vincent-St. Mary H.S.,Game,false,false,false,false,2025-09-10_jv_girls-soccer,2025-09-10_jv_girls-soccer.jpg,8f3e0c04-4237-4070-8c41-fa36ba315eeb
2025-09-13,09/13,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,11:00 AM,Home,vs,West Branch,Warriors,West Branch Warriors,Poland Seminary High School,Game,false,false,false,false,2025-09-13_jv_girls-soccer,2025-09-13_jv_girls-soccer.jpg,a54d4daa-bb92-4be1-b5a1-692b4be7147e
2025-09-20,09/20,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,11:00 AM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,true,false,false,false,2025-09-20_jv_girls-soccer,2025-09-20_jv_girls-soccer.jpg,593c6698-a33a-4645-8169-557ab46bed46
2025-10-06,10/06,2025,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:45 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,2025-10-06_jv_girls-soccer,2025-10-06_jv_girls-soccer.jpg,cd46a1a8-0077-4610-8118-bfaa21e6aab7
2026-08-17,08/17,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:00 PM,Away,'@,Howland,Tigers,Howland Tigers,Howland High School,Game,false,false,false,false,2026-08-17_jv_girls-soccer,2026-08-17_jv_girls-soccer.jpg,80ed15e4-1517-4e08-a17e-e2ed4d18bb15
2026-08-22,08/22,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,03:00 PM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,2026-08-22_jv_girls-soccer,2026-08-22_jv_girls-soccer.jpg,97b26edd-f3b0-4a4e-9dee-ad29d173038f
2026-09-02,09/02,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,2026-09-02_jv_girls-soccer,2026-09-02_jv_girls-soccer.jpg,c0f748c7-2956-4e02-a86e-c118e4d8ac36
2026-09-05,09/05,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,11:00 AM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2026-09-05_jv_girls-soccer,2026-09-05_jv_girls-soccer.jpg,4aa8662f-a5a0-4427-88b7-3e9aa5bdfdd6
2026-09-15,09/15,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:30 PM,Away,'@,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Cardinal Mooney High School,Game,false,false,false,false,2026-09-15_jv_girls-soccer,2026-09-15_jv_girls-soccer.jpg,ad407382-cb02-466f-94bc-c7b0cc1e7224
2026-09-26,09/26,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,10:00 AM,Away,'@,West Branch,Warriors,West Branch Warriors,West Branch High School,Game,false,false,false,false,2026-09-26_jv_girls-soccer,2026-09-26_jv_girls-soccer.jpg,44565267-8d02-4103-bcdf-f9fd664f09c3
2026-09-30,09/30,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,05:00 PM,Home,vs,Cardinal Mooney,Cardinals,Cardinal Mooney Cardinals,Poland Seminary High School,Game,false,false,false,false,2026-09-30_jv_girls-soccer,2026-09-30_jv_girls-soccer.jpg,7eae132d-1de1-4b74-a09a-adf9db0d998c
2026-10-03,10/03,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,10:00 AM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,2026-10-03_jv_girls-soccer,2026-10-03_jv_girls-soccer.jpg,013618e4-b8b9-4ea4-9836-9cdc59666982
2026-10-10,10/10,2026,Fall,Girls Soccer,girls-soccer,Girls,jv,JV,girls-soccer-junior-varsity,10:00 AM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,2026-10-10_jv_girls-soccer,2026-10-10_jv_girls-soccer.jpg,59fae6fd-e35a-4df2-b800-a097c5e67b4f
