eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,teamScore,opponentScore,result,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-09-02,09/02,2025,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Liberty,Leopards,Liberty Leopards,Poland Seminary High School,Game,,,,false,false,false,false,2025-09-02_girls-tennis,2025-09-02_girls-tennis.jpg,a9ac42df-71b6-4d39-9819-7ac785fbebe7
2025-09-08,09/08,2025,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,,,,false,false,false,true,2025-09-08_girls-tennis,2025-09-08_girls-tennis.jpg,3ac79211-c230-4f9e-9228-d22bfb3b9562
2025-09-10,09/10,2025,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,,,,false,false,false,true,2025-09-10_girls-tennis,2025-09-10_girls-tennis.jpg,092e2510-ca25-4a14-b00c-8fa24f7837e9
2025-09-15,09/15,2025,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,,,,false,false,false,true,2025-09-15_girls-tennis,2025-09-15_girls-tennis.jpg,a6659c94-f1d2-47e3-8f00-8764a66aeb96
2025-09-16,09/16,2025,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,,,,false,false,false,false,2025-09-16_girls-tennis,2025-09-16_girls-tennis.jpg,215a65da-596d-4144-a24b-53faf6313df9
2025-09-25,09/25,2025,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,,,,true,false,false,false,2025-09-25_girls-tennis,2025-09-25_girls-tennis.jpg,8e1a36e0-0eca-449d-87e5-be8abb01350e
2025-10-01,10/01,2025,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,,,,false,false,false,true,2025-10-01_girls-tennis,2025-10-01_girls-tennis.jpg,0b89d63b-079f-48df-a736-6555645f25d3
2026-08-07,08/07,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,11:00 AM,Away,@,Austintown Fitch,Falcons,Austintown Fitch Falcons,Austintown Fitch High School,Game,,,,false,false,false,false,2026-08-07_girls-tennis,2026-08-07_girls-tennis.jpg,6fabda4c-ceec-4edb-8703-38f154d9faed
2026-08-10,08/10,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,06:00 PM,Away,@,Ursuline,Fighting Irish,Ursuline Fighting Irish,YSU,Game,1,4,Loss,false,false,false,false,2026-08-10_girls-tennis,2026-08-10_girls-tennis.jpg,cb85a889-e5d4-4aca-b0eb-aaf9a6274071
2026-08-13,08/13,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Liberty,Leopards,Liberty Leopards,Liberty High School,Game,4,1,Win,false,false,false,false,2026-08-13_girls-tennis,2026-08-13_girls-tennis.jpg,e2c2f3e5-903a-434f-b5f9-02a4b01b1ba2
