Sport,Levels,Gender,Season,School Level,Slug
Football,Varsity,Boys,Fall,High School,football-varsity
Football,Junior Varsity,Boys,Fall,High School,football-junior-varsity
Football,Freshman,Boys,Fall,High School,football-freshman
Football,8th Grade,Boys,Fall,Junior High,football-8th-grade
Football,7th Grade,Boys,Fall,Junior High,football-7th-grade
Boys Soccer,Varsity,Boys,Fall,High School,boys-soccer-varsity
Boys Soccer,Junior Varsity,Boys,Fall,High School,boys-soccer-junior-varsity
Girls Soccer,Varsity,Girls,Fall,High School,girls-soccer-varsity
Girls Soccer,Junior Varsity,Girls,Fall,High School,girls-soccer-junior-varsity
Boys Golf,Varsity,Boys,Fall,High School,boys-golf-varsity
Girls Golf,Varsity,Girls,Fall,High School,girls-golf-varsity
Volleyball,Varsity,Girls,Fall,High School,volleyball-varsity
Volleyball,Junior Varsity,Girls,Fall,High School,volleyball-junior-varsity
Volleyball,8th Grade,Girls,Fall,Junior High,volleyball-8th-grade
Volleyball,7th Grade,Girls,Fall,Junior High,volleyball-7th-grade
Cross Country,Varsity,Co-Ed,Fall,High School,cross-country-varsity
Cross Country,Junior High,Co-Ed,Fall,Junior High,cross-country-junior-high
Girls Tennis,Varsity,Girls,Fall,High School,girls-tennis-varsity
Girls Wrestling,Varsity,Girls,Winter,High School,girls-wrestling-varsity
Girls Wrestling,Junior High,Girls,Winter,Junior High,girls-wrestling-junior-high
Boys Wrestling,Varsity,Boys,Winter,High School,boys-wrestling-varsity
Boys Wrestling,Junior High,Boys,Winter,Junior High,boys-wrestling-junior-high
Swimming & Diving,Varsity,Co-Ed,Winter,High School,swimming-diving-varsity
Boys Basketball,Varsity,Boys,Winter,High School,boys-basketball-varsity
Boys Basketball,Junior Varsity,Boys,Winter,High School,boys-basketball-junior-varsity
Boys Basketball,Freshman,Boys,Winter,High School,boys-basketball-freshman
Boys Basketball,8th Grade,Boys,Winter,Junior High,boys-basketball-8th-grade
Boys Basketball,7th Grade,Boys,Winter,Junior High,boys-basketball-7th-grade
Girls Basketball,Varsity,Girls,Winter,High School,girls-basketball-varsity
Girls Basketball,Junior Varsity,Girls,Winter,High School,girls-basketball-junior-varsity
Girls Basketball,8th Grade,GIrls,Winter,Junior High,girls-basketball-8th-grade
Girls Basketball,7th Grade,Girls,Winter,Junior High,girls-basketball-7th-grade
Track & Field,Varsity,Co-Ed,Spring,High School,track-field-varsity
Track & Field,Junior High,Co-Ed,Spring,Junior High,track-field-junior-high
Baseball,Varsity,Boys,Spring,High School,baseball-varsity
Baseball,Junior Varsity,Boys,Spring,High School,baseball-junior-varsity
Softball,Varsity,Girls,Spring,High School,softball-varsity
Boys Tennis,Varsity,Boys,Spring,High School,boys-tennis-varsity
Boys Lacrosse,Varsity,Boys,Spring,High School,boys-lacrosse-varsity
Girls Lacrosse,Varsity,Girls,Spring,High School,girls-lacrosse-varsity
Cheerleading,Varsity,Girls,Fall,High School,cheerleading-varsity
Cheerleading,Junior Varsity,Girls,Fall,High School,cheerleading-junior-varsity
Cheerleading,Junior High,Girls,Fall,Junior High,cheerleading-junior-high
