eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2026-08-24,08/24,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,false,2026-08-24_7th_volleyball,2026-08-24_7th_volleyball.jpg,9fb7ebcf-48bb-4ae9-a924-39db13c8788e
2026-08-26,08/26,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,Game,false,false,false,false,2026-08-26_7th_volleyball,2026-08-26_7th_volleyball.jpg,d274c66b-0904-4c0b-a8f0-99bae20d97e0
2026-08-26,08/26,2026,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,05:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,Game,false,false,false,false,2026-08-26_7th_football,2026-08-26_7th_football.jpg,0e918c8f-17bd-4cd1-a82b-92c5e1b5f697
2026-08-31,08/31,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,2026-08-31_7th_volleyball,2026-08-31_7th_volleyball.jpg,8eb087b0-f68d-4021-98ee-0a598bbc21fa
2026-09-02,09/02,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,Hubbard MS,,Hubbard MS,Hubbard MS,Game,false,false,false,false,2026-09-02_7th_volleyball,2026-09-02_7th_volleyball.jpg,30e8184f-b032-41bd-a7d5-444ac9288148
2026-09-03,09/03,2026,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,04:30 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2026-09-03_7th_football,2026-09-03_7th_football.jpg,d15ca1e6-9f62-425c-8839-ebb640c80b3d
2026-09-09,09/09,2026,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,04:30 PM,Home,vs,CANFIELD VILLAGE MIDDLE SCHOOL,,CANFIELD VILLAGE MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2026-09-09_7th_football,2026-09-09_7th_football.jpg,818eeafd-688c-4b8b-ae1c-7ab5f7396863
2026-09-09,09/09,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2026-09-09_7th_volleyball,2026-09-09_7th_volleyball.jpg,4f9ede0d-9cce-4549-a38e-e19009c8adb4
2026-09-14,09/14,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,Niles Middle School,,Niles Middle School,Niles Middle School,Game,false,false,false,false,2026-09-14_7th_volleyball,2026-09-14_7th_volleyball.jpg,f4bbc076-2b6c-4764-b4b9-e5504558eedf
2026-09-16,09/16,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2026-09-16_7th_volleyball,2026-09-16_7th_volleyball.jpg,dbdee475-e7de-4f12-b256-599829d0c01f
2026-09-17,09/17,2026,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,06:00 PM,Away,'@,HOLY FAMILY ELEMENTARY SCHOOL,,HOLY FAMILY ELEMENTARY SCHOOL,HOLY FAMILY ELEMENTARY SCHOOL,Game,false,false,false,false,2026-09-17_7th_football,2026-09-17_7th_football.jpg,a3ceedef-54e7-436f-a282-d5ed55485239
2026-09-21,09/21,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,South Range Middle School,,South Range Middle School,South Range Middle School,Game,false,false,false,false,2026-09-21_7th_volleyball,2026-09-21_7th_volleyball.jpg,7c8be3e2-b788-4bc9-87a4-015026812dd9
2026-09-23,09/23,2026,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,04:30 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,Game,false,false,false,false,2026-09-23_7th_football,2026-09-23_7th_football.jpg,dcd007e4-f5ca-42d4-b778-1378be350ea0
2026-09-23,09/23,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2026-09-23_7th_volleyball,2026-09-23_7th_volleyball.jpg,5162da89-b880-44b8-bf29-5745c3682cc0
2026-09-28,09/28,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,Game,false,false,false,false,2026-09-28_7th_volleyball,2026-09-28_7th_volleyball.jpg,b8ee3472-9b55-4a51-a7ac-813a67167332
2026-09-30,09/30,2026,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,GLENWOOD MIDDLE SCHOOL,,GLENWOOD MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2026-09-30_7th_volleyball,2026-09-30_7th_volleyball.jpg,f3f99db7-0de7-410c-8928-1346de2d5313
2026-09-30,09/30,2026,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,05:00 PM,Away,'@,Niles Middle School,,Niles Middle School,Niles Middle School,Game,false,false,false,false,2026-09-30_7th_football,2026-09-30_7th_football.jpg,a98077d7-c30f-4755-9cdb-becb90890c52
