eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,teamScore,opponentScore,result,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2026-09-25,09/25,2026,Fall,Football,football,Boys,varsity,Varsity,football-varsity,07:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,Game,,,,false,false,false,true,2026-09-25_football,2026-09-25_football.jpg,db3d467c-3e99-4056-9c7e-b3dea482066c
2026-09-26,09/26,2026,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,09:15 AM,Away,@,Sharpsville Invitational,,Sharpsville Invitational,Buhl Park,Game,,,,false,false,false,false,2026-09-26_cross-country,2026-09-26_cross-country.jpg,7c3c87b6-8f19-445f-bfde-611dc212678a
2026-09-26,09/26,2026,Fall,Girls Soccer,girls-soccer,Girls,varsity,Varsity,girls-soccer-varsity,11:30 AM,Away,@,West Branch,Warriors,West Branch Warriors,West Branch High School,Game,,,,false,false,false,false,2026-09-26_girls-soccer,2026-09-26_girls-soccer.jpg,c2dbd243-f169-47d1-935b-f7b1b900f32e
2026-09-28,09/28,2026,Fall,Boys Soccer,boys-soccer,Boys,varsity,Varsity,boys-soccer-varsity,05:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,,,,false,false,false,true,2026-09-28_boys-soccer,2026-09-28_boys-soccer.jpg,52cbe4f6-67e7-494d-aa34-bfc88be95264
2026-09-28,09/28,2026,Fall,Volleyball,volleyball,Girls,varsity,Varsity,volleyball-varsity,06:45 PM,Away,@,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,Game,,,,false,false,false,false,2026-09-28_volleyball,2026-09-28_volleyball.jpg,d77fb5a6-bf8c-4936-99b9-ad45ebe673bd
2026-09-28,09/28,2026,Fall,Girls Soccer,girls-soccer,Girls,varsity,Varsity,girls-soccer-varsity,07:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,,,,false,false,false,true,2026-09-28_girls-soccer,2026-09-28_girls-soccer.jpg,c9cdbb4c-0ad0-4e03-a13e-22191694e612
2026-09-29,09/29,2026,Fall,Volleyball,volleyball,Girls,varsity,Varsity,volleyball-varsity,07:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,,,,false,false,false,true,2026-09-29_volleyball,2026-09-29_volleyball.jpg,b4f53dff-f2d5-443b-91d2-c575d0160de0
2026-09-30,09/30,2026,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,04:45 PM,Away,@,Mahoning County Meet,,Mahoning County Meet,Austintown Township Park,Game,,,,false,false,false,false,2026-09-30_cross-country,2026-09-30_cross-country.jpg,3f8b0385-b868-47ae-86e7-b1b3803d8c18
2026-10-01,10/01,2026,Fall,Boys Soccer,boys-soccer,Boys,varsity,Varsity,boys-soccer-varsity,05:00 PM,Home,vs,Champion,Golden Flashes,Champion Golden Flashes,Poland Seminary High School,Game,,,,false,false,false,false,2026-10-01_boys-soccer,2026-10-01_boys-soccer.jpg,6fd976e0-5ab4-43d9-a361-2522adcf470f
2026-10-01,10/01,2026,Fall,Girls Soccer,girls-soccer,Girls,varsity,Varsity,girls-soccer-varsity,07:00 PM,Home,vs,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,Poland Seminary High School,Game,,,,false,false,false,false,2026-10-01_girls-soccer,2026-10-01_girls-soccer.jpg,ae328dea-c7c9-45d2-aafa-c6c18d84bf07
2026-10-02,10/02,2026,Fall,Football,football,Boys,varsity,Varsity,football-varsity,07:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,,,,false,false,false,true,2026-10-02_football,2026-10-02_football.jpg,01671902-5bf0-426a-9dc4-10675f6d1520
2026-10-03,10/03,2026,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,06:00 PM,Away,@,Zombie Run,,Zombie Run,Poland Township Park,Game,,,,false,false,false,false,2026-10-03_cross-country,2026-10-03_cross-country.jpg,392b640d-7dc2-4a6a-bcd5-43980421e9f7
2026-10-05,10/05,2026,Fall,Girls Soccer,girls-soccer,Girls,varsity,Varsity,girls-soccer-varsity,05:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,Game,,,,false,false,false,true,2026-10-05_girls-soccer,2026-10-05_girls-soccer.jpg,60cc655d-635a-4a9e-94e4-4ed980e8a996
2026-10-05,10/05,2026,Fall,Volleyball,volleyball,Girls,varsity,Varsity,volleyball-varsity,07:00 PM,Home,vs,Springfield,Tigers,Springfield Tigers,Poland Seminary High School,Game,,,,false,false,false,false,2026-10-05_volleyball,2026-10-05_volleyball.jpg,672f3d70-4a54-4d45-9ee0-f9768018839d
2026-10-05,10/05,2026,Fall,Boys Soccer,boys-soccer,Boys,varsity,Varsity,boys-soccer-varsity,07:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,Game,,,,false,false,false,true,2026-10-05_boys-soccer,2026-10-05_boys-soccer.jpg,e454254c-4115-43c0-a7e5-d52f759ce615
2026-10-06,10/06,2026,Fall,Volleyball,volleyball,Girls,varsity,Varsity,volleyball-varsity,07:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,,,,false,false,false,true,2026-10-06_volleyball,2026-10-06_volleyball.jpg,d6137cdc-5bb9-403b-aff3-657a07f344e7
2026-10-07,10/07,2026,Fall,Girls Soccer,girls-soccer,Girls,varsity,Varsity,girls-soccer-varsity,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,,,,false,false,false,true,2026-10-07_girls-soccer,2026-10-07_girls-soccer.jpg,739b6fa8-6e70-4fab-a37b-6d89eb5b4899
2026-10-07,10/07,2026,Fall,Boys Soccer,boys-soccer,Boys,varsity,Varsity,boys-soccer-varsity,07:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,,,,false,false,false,true,2026-10-07_boys-soccer,2026-10-07_boys-soccer.jpg,631d8e11-d95b-4d20-b0b8-429bf31da3b6
