eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2026-01-13,01/13,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,03:00 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-01-13_baseball,2026-01-13_baseball.jpg,eba4fabe-e41d-420e-9c1d-ee72c7705f6c
2026-01-16,01/16,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,02:15 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-01-16_baseball,2026-01-16_baseball.jpg,c0983e2a-b6a1-4d56-be70-06e8d422acc7
2026-01-17,01/17,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,10:30 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-01-17_baseball,2026-01-17_baseball.jpg,453e058e-13b4-4d1a-bf38-fe9f55f3c7b3
2026-01-20,01/20,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,03:00 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-01-20_baseball,2026-01-20_baseball.jpg,523876d8-118f-4b92-b609-e01dacfc021f
2026-01-24,01/24,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,10:30 AM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-01-24_baseball,2026-01-24_baseball.jpg,c6703ca5-764b-42f5-9e86-0bd0605ef548
2026-01-27,01/27,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,03:00 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-01-27_baseball,2026-01-27_baseball.jpg,516ba923-82b1-4c78-babc-9d4fcd6c23d0
2026-02-05,02/05,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,02:15 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-02-05_baseball,2026-02-05_baseball.jpg,30856a9a-01c0-4bdb-96ec-2336831be8ac
2026-02-10,02/10,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,02:15 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-02-10_baseball,2026-02-10_baseball.jpg,dc2bfb9f-2c86-4607-a18c-43445dded63d
2026-02-12,02/12,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,02:15 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,2026-02-12_baseball,2026-02-12_baseball.jpg,9bbf7fbb-7411-45c5-ab18-614c5fd64cf3
2026-02-19,02/19,2026,Spring,Baseball,baseball,Boys,varsity,Varsity,baseball-varsity,04:00 PM,Home,vs,Practice: Softball (Girls V) Practice,,Practice: Softball (Girls V) Practice,Poland Seminary High School,Practice,false,false,false,false,2026-02-19_baseball,2026-02-19_baseball.jpg,786836a6-6a45-446f-845e-841395f0d8a4
