eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-11-03,11/03,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,7th grade boys basketball tryouts,,7th grade boys basketball tryouts,Poland Seminary High School,Game,false,false,false,false,2025-11-03_7th_boys-basketball,2025-11-03_7th_boys-basketball.jpg,07e4f8c5-1931-45d2-bcc6-5bc31318c49e
2025-11-04,11/04,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,7th grade boys basketball tryouts,,7th grade boys basketball tryouts,Poland Seminary High School,Game,false,false,false,false,2025-11-04_7th_boys-basketball,2025-11-04_7th_boys-basketball.jpg,79e82eb8-9fcb-4fbe-b3d2-fbca63c32a25
2025-11-05,11/05,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,7th grade boys basketball tryouts,,7th grade boys basketball tryouts,Poland Seminary High School,Game,false,false,false,false,2025-11-05_7th_boys-basketball,2025-11-05_7th_boys-basketball.jpg,8d619409-2458-4b06-b1d5-5a786fae1d1a
2025-11-19,11/19,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Warren G. Harding,Raiders,Warren G. Harding Raiders,Poland Seminary High School,Game,false,false,false,false,2025-11-19_7th_boys-basketball,2025-11-19_7th_boys-basketball.jpg,e0df71fc-2f41-4b01-ba03-efd380a63588
2025-11-25,11/25,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:30 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,Game,false,false,false,false,2025-11-25_7th_boys-basketball,2025-11-25_7th_boys-basketball.jpg,b34d90ab-d165-4f98-8279-3feae051a0b7
2025-12-03,12/03,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,Game,false,false,false,false,2025-12-03_7th_boys-basketball,2025-12-03_7th_boys-basketball.jpg,6d5fcea4-097c-4a10-b760-b88707dee62e
2025-12-08,12/08,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,Boardman Center Intermediate,,Boardman Center Intermediate,GLENWOOD MIDDLE SCHOOL,Game,false,false,false,false,2025-12-08_7th_boys-basketball,2025-12-08_7th_boys-basketball.jpg,1da0cf63-fd86-4f13-96c5-cd9fdb864d1f
2025-12-10,12/10,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,Game,false,false,false,false,2025-12-10_7th_boys-basketball,2025-12-10_7th_boys-basketball.jpg,5d1b03d4-8cea-494f-aed8-2c4630d77466
2025-12-15,12/15,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2025-12-15_7th_boys-basketball,2025-12-15_7th_boys-basketball.jpg,b25686d8-0dd8-4569-ab4b-b2b18b0c0291
2025-12-17,12/17,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,Niles Middle School,,Niles Middle School,Niles Middle School,Game,false,false,false,false,2025-12-17_7th_boys-basketball,2025-12-17_7th_boys-basketball.jpg,3c3d10f9-c4c9-4d87-a22c-b6c6a1b5362e
2025-12-18,12/18,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:30 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,2025-12-18_7th_boys-basketball,2025-12-18_7th_boys-basketball.jpg,c7803abc-2cac-4a07-9849-7963b956649e
2026-01-05,01/05,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,false,2026-01-05_7th_boys-basketball,2026-01-05_7th_boys-basketball.jpg,4a7ffccb-92d5-4a40-992c-6076006458e5
2026-01-07,01/07,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2026-01-07_7th_boys-basketball,2026-01-07_7th_boys-basketball.jpg,5cb36a11-45f8-4f9f-8bb8-c307c9d08fef
2026-01-14,01/14,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,Hubbard MS,,Hubbard MS,Hubbard MS,Game,false,false,false,false,2026-01-14_7th_boys-basketball,2026-01-14_7th_boys-basketball.jpg,ae1bef88-5b5a-4b1e-a4b4-c7c2def517af
2026-01-21,01/21,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,South Range Middle School,,South Range Middle School,South Range Middle School,Game,false,false,false,false,2026-01-21_7th_boys-basketball,2026-01-21_7th_boys-basketball.jpg,e702f165-b3d7-4db8-85e5-e693791cd14e
2026-01-26,01/26,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,true,false,false,true,2026-01-26_7th_boys-basketball,2026-01-26_7th_boys-basketball.jpg,da4257d8-b926-46fb-9eaf-8d9519903a6c
2026-01-28,01/28,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,Game,true,false,false,false,2026-01-28_7th_boys-basketball,2026-01-28_7th_boys-basketball.jpg,64e22454-9f6d-437e-9c30-bfb32dc28881
2026-02-02,02/02,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2026-02-02_7th_boys-basketball,2026-02-02_7th_boys-basketball.jpg,bb62dfe7-c624-4ac4-9192-4cd07cb2252f
2026-02-04,02/04,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,false,false,false,true,2026-02-04_7th_boys-basketball,2026-02-04_7th_boys-basketball.jpg,730ece66-bb0a-474b-bc06-0abe46182f1f
2026-02-07,02/07,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,10:00 AM,Away,'@,NE8 Tournament,,NE8 Tournament,Girard Sr High School,Game,false,false,false,false,2026-02-07_7th_boys-basketball,2026-02-07_7th_boys-basketball.jpg,906b582d-2930-4886-a1ae-a2a27b0f664f
2026-02-09,02/09,2025-2026,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,06:15 PM,Away,'@,South Range Middle School,,South Range Middle School,South Range Middle School,Game,false,false,false,false,2026-02-09_7th_boys-basketball,2026-02-09_7th_boys-basketball.jpg,dc9f65e3-ec26-48b2-afd9-4eff8ed6cbdc
2026-12-07,12/07,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,Game,false,false,false,false,2026-12-07_7th_boys-basketball,2026-12-07_7th_boys-basketball.jpg,31050fdc-1112-4e03-ab7c-5024a3516738
2026-12-09,12/09,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,Game,false,false,false,false,2026-12-09_7th_boys-basketball,2026-12-09_7th_boys-basketball.jpg,3ebdb993-b48b-479e-97f3-f1abda17715b
2026-12-16,12/16,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,false,2026-12-16_7th_boys-basketball,2026-12-16_7th_boys-basketball.jpg,e99c4aa1-ca87-47cc-8d92-573b7596263e
2026-12-21,12/21,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2026-12-21_7th_boys-basketball,2026-12-21_7th_boys-basketball.jpg,355e42b0-4f65-422a-a13d-c0771e3ccd72
2026-12-23,12/23,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Boardman Center Intermediate,,Boardman Center Intermediate,Poland Seminary High School,Game,false,false,false,false,2026-12-23_7th_boys-basketball,2026-12-23_7th_boys-basketball.jpg,9e6691fb-2ee8-4c26-8dfd-d043b0bcd62c
2027-01-06,01/06,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,Game,false,false,false,false,2027-01-06_7th_boys-basketball,2027-01-06_7th_boys-basketball.jpg,6c527223-e19e-416c-a828-b1f37fc6e42f
2027-01-11,01/11,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2027-01-11_7th_boys-basketball,2027-01-11_7th_boys-basketball.jpg,4039910d-f2f9-4c10-a520-4a08ff8b7a73
2027-01-13,01/13,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,South Range Middle School,,South Range Middle School,South Range Middle School,Game,false,false,false,false,2027-01-13_7th_boys-basketball,2027-01-13_7th_boys-basketball.jpg,38c90f8d-385d-4da7-930c-4e8b49a63ecc
2027-01-20,01/20,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,Game,false,false,false,false,2027-01-20_7th_boys-basketball,2027-01-20_7th_boys-basketball.jpg,5c70a638-91ae-4182-8d8f-2eab64537975
2027-01-25,01/25,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2027-01-25_7th_boys-basketball,2027-01-25_7th_boys-basketball.jpg,cbdf53e2-2830-494b-852a-5af53f4c0e96
2027-01-27,01/27,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,2027-01-27_7th_boys-basketball,2027-01-27_7th_boys-basketball.jpg,8236eba1-bef7-4832-97be-99c8976a2dc9
2027-02-03,02/03,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Away,'@,Hubbard MS,,Hubbard MS,Hubbard MS,Game,false,false,false,false,2027-02-03_7th_boys-basketball,2027-02-03_7th_boys-basketball.jpg,185deae1-bbcd-4780-9194-9ec5d846688b
2027-02-04,02/04,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,05:00 PM,Home,vs,CANFIELD VILLAGE MIDDLE SCHOOL,,CANFIELD VILLAGE MIDDLE SCHOOL,Poland Seminary High School,Game,false,false,false,false,2027-02-04_7th_boys-basketball,2027-02-04_7th_boys-basketball.jpg,ea8d9e6c-478e-4ea0-97eb-9d3f1bc9fcbf
2027-02-06,02/06,2026-2027,Winter,Boys Basketball,boys-basketball,Boys,7th,7th Grade,boys-basketball-7th-grade,TBA,Away,'@,North East 8 Basketball Tournament,,North East 8 Basketball Tournament,Hubbard MS,Game,false,false,true,false,2027-02-06_7th_boys-basketball,2027-02-06_7th_boys-basketball.jpg,c0ce0541-1454-4831-98ca-35dd60bf170a
