eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-08-02,08/02,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,10:00 AM,Away,'@,Louisville,Leopards,Louisville Leopards,Louisville High School,Game,false,false,false,false,2025-08-02_jv_boys-soccer,2025-08-02_jv_boys-soccer.jpg,1733918d-3f0b-4558-85ce-9771ca257ca1
2025-08-06,08/06,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:00 PM,Away,'@,Warren G. Harding,Raiders,Warren G. Harding Raiders,Warren G Harding High School,Game,false,false,false,false,2025-08-06_jv_boys-soccer,2025-08-06_jv_boys-soccer.jpg,a11e2250-44a8-4d0a-97f5-9420b6e31e71
2025-08-19,08/19,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:30 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,2025-08-19_jv_boys-soccer,2025-08-19_jv_boys-soccer.jpg,e2e368c8-e9db-459e-9fdf-64c30efc2dc9
2025-09-04,09/04,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:45 PM,Away,'@,West Branch,Warriors,West Branch Warriors,West Branch High School,Game,false,false,false,false,2025-09-04_jv_boys-soccer,2025-09-04_jv_boys-soccer.jpg,a7aec94e-6f7d-4777-afb7-de662ecacce1
2025-09-06,09/06,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,10:00 AM,Home,vs,Marlington,Dukes,Marlington Dukes,Poland Seminary High School,Game,false,false,false,false,2025-09-06_jv_boys-soccer,2025-09-06_jv_boys-soccer.jpg,c3de7361-8da4-4695-9cc2-0cde58620242
2025-09-11,09/11,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:00 PM,Away,'@,Salem,Quakers,Salem Quakers,Salem High School,Game,false,false,false,true,2025-09-11_jv_boys-soccer,2025-09-11_jv_boys-soccer.jpg,7b65afaa-54c5-4062-8848-c150f976e652
2025-09-17,09/17,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,06:00 PM,Away,'@,West Branch,Warriors,West Branch Warriors,West Branch High School,Game,false,false,false,false,2025-09-17_jv_boys-soccer,2025-09-17_jv_boys-soccer.jpg,6f1a7071-c12f-4674-8f44-a4ccd416f886
2025-09-23,09/23,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:00 PM,Away,'@,Crestview,Rebels,Crestview Rebels,Crestview High School (Columbiana),Game,false,false,false,false,2025-09-23_jv_boys-soccer,2025-09-23_jv_boys-soccer.jpg,7f166bba-b216-4696-929f-d0f487cc1bba
2025-10-11,10/11,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,01:00 PM,Away,'@,Marlington,Dukes,Marlington Dukes,Marlington High School,Game,false,false,false,false,2025-10-11_jv_boys-soccer,2025-10-11_jv_boys-soccer.jpg,47089ca3-1ad5-420f-a737-df7a45fea989
2025-10-13,10/13,2025,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,2025-10-13_jv_boys-soccer,2025-10-13_jv_boys-soccer.jpg,f8079b77-2606-463a-8591-b6855fdbc543
2026-08-06,08/06,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:00 PM,Home,vs,Louisville,Leopards,Louisville Leopards,Poland Seminary High School,Game,false,false,false,false,2026-08-06_jv_boys-soccer,2026-08-06_jv_boys-soccer.jpg,11d6bb13-9975-4271-b740-15789a03a297
2026-08-08,08/08,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,09:00 AM,Away,'@,Howland,Tigers,Howland Tigers,Howland High School,Game,false,false,false,false,2026-08-08_jv_boys-soccer,2026-08-08_jv_boys-soccer.jpg,f2f078c5-f35f-41a3-9594-2a7acf58e6b3
2026-08-12,08/12,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:00 PM,Away,'@,Chagrin Falls,Tigers,Chagrin Falls Tigers,Chagrin Falls High School,Game,false,false,false,false,2026-08-12_jv_boys-soccer,2026-08-12_jv_boys-soccer.jpg,a1b33971-d4f7-4b31-b0c2-aa274c8b95b7
2026-08-15,08/15,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,11:00 AM,Away,'@,Marlington,Dukes,Marlington Dukes,Marlington High School,Game,false,false,false,false,2026-08-15_jv_boys-soccer,2026-08-15_jv_boys-soccer.jpg,22e7a6b7-1711-47b1-81e9-0d137de12fea
2026-08-18,08/18,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:00 PM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,2026-08-18_jv_boys-soccer,2026-08-18_jv_boys-soccer.jpg,71202167-5110-4f26-8b65-ad4281abb650
2026-09-03,09/03,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:30 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,2026-09-03_jv_boys-soccer,2026-09-03_jv_boys-soccer.jpg,1cd36bf5-98a9-40c0-866d-a3fbad8be9bf
2026-09-24,09/24,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,05:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,false,false,false,true,2026-09-24_jv_boys-soccer,2026-09-24_jv_boys-soccer.jpg,ce915936-7808-41d2-a8b0-1a874b8d1148
2026-09-30,09/30,2026,Fall,Boys Soccer,boys-soccer,Boys,jv,JV,boys-soccer-junior-varsity,07:00 PM,Home,vs,Marlington,Dukes,Marlington Dukes,Poland Seminary High School,Game,false,false,false,false,2026-09-30_jv_boys-soccer,2026-09-30_jv_boys-soccer.jpg,35aa512e-636d-442f-9eb7-0fd183823db4
