eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-08-15,08/15,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,06:30 PM,Home,vs,Senior Night & Family Picnic,,Senior Night & Family Picnic,Poland Seminary High School,Game,false,false,false,false,2025-08-15_cross-country,2025-08-15_cross-country.jpg,33fa9712-e56c-4ae6-b506-b4fdcabac7c0
2025-08-23,08/23,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,11:00 AM,Away,'@,Billy Goat Invitational,,Billy Goat Invitational,Woodland Park,Game,false,false,false,false,2025-08-23_cross-country,2025-08-23_cross-country.jpg,ff99e3e7-b480-4671-a8bf-841f0552c010
2025-08-26,08/26,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,04:45 PM,Away,'@,East Palestine,Bulldogs,East Palestine Bulldogs,East Palestine High School,Game,false,false,false,false,2025-08-26_cross-country,2025-08-26_cross-country.jpg,5d5ba1c0-9d60-45df-a3a1-7c509d8b736f
2025-08-30,08/30,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,08:00 AM,Home,vs,"""The List"" Race",,"""The List"" Race",Poland Seminary High School,Game,false,false,false,false,2025-08-30_cross-country,2025-08-30_cross-country.jpg,33521b0d-70b1-4885-b2a7-067b7b9dc59c
2025-09-02,09/02,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,04:45 PM,Home,vs,OPEN,,OPEN,Poland Seminary High School,Game,false,false,false,false,2025-09-02_cross-country,2025-09-02_cross-country.jpg,291444b0-9d9e-44d5-b456-b2a12eba5628
2025-09-06,09/06,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,10:10 AM,Away,'@,Walsh Jesuit,Warriors,Walsh Jesuit Warriors,Walsh Jesuit High School,Game,false,false,false,false,2025-09-06_cross-country,2025-09-06_cross-country.jpg,73a02df8-ce89-4cf6-8106-322f53549e66
2025-09-09,09/09,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,04:45 PM,Away,'@,OPEN,,OPEN,Stevens Park,Game,false,false,false,false,2025-09-09_cross-country,2025-09-09_cross-country.jpg,31716018-103d-4c39-8c6d-df2dc434770b
2025-09-13,09/13,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,10:00 AM,Away,'@,Boardman Spartan Invitational,,Boardman Spartan Invitational,Boardman High School,Game,false,false,false,false,2025-09-13_cross-country,2025-09-13_cross-country.jpg,9c3a0112-0710-4dcc-9747-0c8a899a5655
2025-09-16,09/16,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,04:45 PM,Away,'@,Suburban Championship,,Suburban Championship,Canfield Fairgrounds,Game,false,false,false,false,2025-09-16_cross-country,2025-09-16_cross-country.jpg,9db9a6aa-e7b4-4cc1-9109-ceeb2f833c8e
2025-09-20,09/20,2025,Fall,Cross Country,cross-country,Co-ed,varsity,Varsity,cross-country-varsity,07:30 PM,Away,'@,OPEN,,OPEN,Malone College,Game,false,false,false,false,2025-09-20_cross-country,2025-09-20_cross-country.jpg,b40ece8b-fa9b-4c7b-9cee-84c883d3857f
