eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-12-03,12/03,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard MS,Game,false,false,false,true,2025-12-03_7th_girls-basketball,2025-12-03_7th_girls-basketball.jpg,2145f262-83d6-4542-b7a2-e073f07e2e99
2025-12-10,12/10,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range Middle School,Game,false,false,false,true,2025-12-10_7th_girls-basketball,2025-12-10_7th_girls-basketball.jpg,2efdfde5-8707-42a1-9320-e3a8987a5cd2
2025-12-15,12/15,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Girard Sr High School,,Girard Sr High School,Poland Seminary High School,Game,false,false,false,false,2025-12-15_7th_girls-basketball,2025-12-15_7th_girls-basketball.jpg,9c98bc9d-1ea3-4f4c-8b3a-2a1c1b2c3113
2025-12-17,12/17,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,2025-12-17_7th_girls-basketball,2025-12-17_7th_girls-basketball.jpg,bf651ae2-a777-4f2a-8576-53198d22770d
2026-01-05,01/05,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,2026-01-05_7th_girls-basketball,2026-01-05_7th_girls-basketball.jpg,d695de0d-dbe1-4a47-b062-8da7c487199e
2026-01-12,01/12,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,2026-01-12_7th_girls-basketball,2026-01-12_7th_girls-basketball.jpg,4f85a2a2-7c06-464a-b0ef-cf6d075fb2a8
2026-01-14,01/14,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,2026-01-14_7th_girls-basketball,2026-01-14_7th_girls-basketball.jpg,0d113802-49b0-4338-9eab-7110bf566264
2026-01-15,01/15,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Canfield High School,,Canfield High School,Poland Seminary High School,Game,false,false,false,false,2026-01-15_7th_girls-basketball,2026-01-15_7th_girls-basketball.jpg,f2c97894-90a8-48a2-8eff-6e8e7f21f57e
2026-01-21,01/21,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,2026-01-21_7th_girls-basketball,2026-01-21_7th_girls-basketball.jpg,1c21627f-ee4c-4c3e-9e13-e611114d05aa
2026-01-26,01/26,2025-2026,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Girard Sr High School,,Girard Sr High School,Girard Sr High School,Game,true,false,false,false,2026-01-26_7th_girls-basketball,2026-01-26_7th_girls-basketball.jpg,c5e83df0-2cea-40c6-8bb9-85cadf9ca078
