eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-07-28,07/28,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,2025-07-28_girls-golf,2025-07-28_girls-golf.jpg,ad7afba4-2f36-439e-aedb-c615f752e17d
2025-07-30,07/30,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,12:00 PM,Away,'@,Columbiana,Clippers,Columbiana Clippers,Columbiana High School,Game,false,false,false,false,2025-07-30_girls-golf,2025-07-30_girls-golf.jpg,2ba30bfc-312f-4f48-843a-ad836b93a803
2025-07-31,07/31,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,03:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,2025-07-31_girls-golf,2025-07-31_girls-golf.jpg,59a76e53-3356-400b-89a9-6fd1b584bd0d
2025-08-05,08/05,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,09:00 AM,Away,'@,Tiger Invitational,,Tiger Invitational,Old Avalon,Game,false,false,false,false,2025-08-05_girls-golf,2025-08-05_girls-golf.jpg,756db717-7ab7-47cf-b502-7cf543ef2e9f
2025-08-07,08/07,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,01:00 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,2025-08-07_girls-golf,2025-08-07_girls-golf.jpg,7d61eabd-acd7-4483-ade0-9e32fb432ba3
2025-08-11,08/11,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,2025-08-11_girls-golf,2025-08-11_girls-golf.jpg,496ba308-cc0f-44af-943e-56b1e80d7b4b
2025-08-13,08/13,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,TBA,Away,'@,Girard,Indians,Girard Indians,Mahoning CC,Game,false,false,true,true,2025-08-13_girls-golf,2025-08-13_girls-golf.jpg,91a86840-4744-4d8f-9810-f601abc5242e
2025-08-14,08/14,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,2025-08-14_girls-golf,2025-08-14_girls-golf.jpg,ff332357-0e76-43ba-b80d-2c0aa194542a
2025-08-18,08/18,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,10:00 AM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,2025-08-18_girls-golf,2025-08-18_girls-golf.jpg,9c318e64-535e-46f5-ab5a-99c7a4714f9b
2025-08-21,08/21,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,2025-08-21_girls-golf,2025-08-21_girls-golf.jpg,43fcfbdd-af0d-4654-b268-f2b0684b4c81
2025-08-26,08/26,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,09:00 AM,Away,'@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,2025-08-26_girls-golf,2025-08-26_girls-golf.jpg,1b8de627-dfea-4043-9820-6ba15e3238a7
2025-08-28,08/28,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,2025-08-28_girls-golf,2025-08-28_girls-golf.jpg,24d07bc5-8946-4045-8eec-abb34e9c6854
2025-09-05,09/05,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,09:30 AM,Away,'@,Tam O'Shanter Invitational,,Tam O'Shanter Invitational,Tam O'Shanter,Game,false,false,false,false,2025-09-05_girls-golf,2025-09-05_girls-golf.jpg,0aac0d5d-38da-40ef-8746-ce0e1b93dce6
2025-09-09,09/09,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,04:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,true,false,false,true,2025-09-09_girls-golf,2025-09-09_girls-golf.jpg,f4be32fa-65f4-4ac4-bf14-b4c13bbef437
2025-09-11,09/11,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:30 AM,Away,'@,NE 8 Championship,,NE 8 Championship,Pine Lakes,Game,false,false,false,false,2025-09-11_girls-golf,2025-09-11_girls-golf.jpg,801a1b87-f612-4e69-a21f-cd859c35410a
2025-09-15,09/15,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,01:00 PM,Away,'@,Christine Terlesky Invitational,,Christine Terlesky Invitational,The Lake Club,Game,false,false,false,false,2025-09-15_girls-golf,2025-09-15_girls-golf.jpg,46227148-7f3f-48e5-baaf-88ff9001be00
2025-09-22,09/22,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,04:00 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,2025-09-22_girls-golf,2025-09-22_girls-golf.jpg,544a05f8-e9e2-4402-ad78-afb70861201a
2025-09-23,09/23,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,04:30 PM,Home,vs,OPEN Senior Night,,OPEN Senior Night,Poland Seminary High School,Game,false,false,false,false,2025-09-23_girls-golf,2025-09-23_girls-golf.jpg,1c30d67f-8416-401a-8c15-3b87d9dfa8e2
2025-09-25,09/25,2025,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Away,'@,Sectionals,,Sectionals,Pine Lakes,Game,false,false,false,false,2025-09-25_girls-golf,2025-09-25_girls-golf.jpg,619dcd42-362c-429f-bfda-4c18232d94d1
2026-07-28,07/28,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,07:00 AM,Home,vs,Columbiana,Clippers,Columbiana Clippers,Poland Seminary High School,Game,false,false,false,false,2026-07-28_girls-golf,2026-07-28_girls-golf.jpg,d412b3b8-1a2f-4f76-b9ef-1688c78fb4d8
2026-07-30,07/30,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,01:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,2026-07-30_girls-golf,2026-07-30_girls-golf.jpg,379767ed-86ec-4153-aea7-fedbf29941a5
2026-08-03,08/03,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Away,'@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,2026-08-03_girls-golf,2026-08-03_girls-golf.jpg,25047dca-266c-4a4a-9c72-4faf2fdc7319
2026-08-04,08/04,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,09:00 AM,Away,'@,Tiger Invitational,,Tiger Invitational,Old Avalon,Game,false,false,false,false,2026-08-04_girls-golf,2026-08-04_girls-golf.jpg,8112bbf0-5db3-4e29-bc81-89764c1d8d6c
2026-08-06,08/06,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,2026-08-06_girls-golf,2026-08-06_girls-golf.jpg,1a03c939-160e-4ffc-9b06-927db9c2a8fb
2026-08-11,08/11,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2026-08-11_girls-golf,2026-08-11_girls-golf.jpg,0090d3aa-48ba-4acb-9f0d-74df024e001c
2026-08-12,08/12,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,2026-08-12_girls-golf,2026-08-12_girls-golf.jpg,8a357477-57f9-4ee7-993a-ac7f1a5e660b
2026-08-13,08/13,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,10:00 AM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,2026-08-13_girls-golf,2026-08-13_girls-golf.jpg,03b53d1a-b757-45c5-a038-370dfc28912e
2026-08-17,08/17,2026,Fall,Girls Golf,girls-golf,Girls,varsity,Varsity,girls-golf-varsity,08:00 AM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,2026-08-17_girls-golf,2026-08-17_girls-golf.jpg,536f85f2-c674-472c-b863-f58003238e35
