eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-08-18,08/18,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Campbell,Red Devils,Campbell Red Devils,Campbell Memorial High School,Game,false,false,false,false,2025-08-18_jv_volleyball,2025-08-18_jv_volleyball.jpg,5e27eebf-7aeb-43ee-83a8-674c5597f620
2025-08-19,08/19,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,2025-08-19_jv_volleyball,2025-08-19_jv_volleyball.jpg,13f9da89-5a3b-496e-b77c-a1a0be4b9073
2025-08-21,08/21,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,2025-08-21_jv_volleyball,2025-08-21_jv_volleyball.jpg,1ca354cc-043d-42ae-a8b8-2c66dacf1c84
2025-08-25,08/25,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,Game,false,false,false,false,2025-08-25_jv_volleyball,2025-08-25_jv_volleyball.jpg,59f64520-6571-4491-96e9-c3b6d84c61fc
2025-08-26,08/26,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,2025-08-26_jv_volleyball,2025-08-26_jv_volleyball.jpg,34fb2a75-540d-44c5-a7ed-72d8d4aea86e
2025-08-28,08/28,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2025-08-28_jv_volleyball,2025-08-28_jv_volleyball.jpg,889d9bc9-fb03-4adb-a471-079c6220fc9d
2025-09-02,09/02,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,2025-09-02_jv_volleyball,2025-09-02_jv_volleyball.jpg,12152038-659a-4000-9c63-04ed9469e93f
2025-09-08,09/08,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,false,false,false,false,2025-09-08_jv_volleyball,2025-09-08_jv_volleyball.jpg,a1a5de96-36e1-419e-97b6-2f464a301244
2025-09-09,09/09,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,2025-09-09_jv_volleyball,2025-09-09_jv_volleyball.jpg,0c63601c-eab5-4314-b3e2-133048dc3982
2025-09-11,09/11,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,2025-09-11_jv_volleyball,2025-09-11_jv_volleyball.jpg,12d0c2ee-cc1d-4779-8a00-858b16327ec7
